condition,negative_type,retrieval_condition,context_label,context_composition,depth,n,em,em_lo,em_hi,f1,f1_lo,f1_hi,judge_correct,judge_correct_lo,judge_correct_hi
good,hard,good,Low noise,All BM25-findable gold passages retained; remaining slots are distractors.,0,20,0.15,0.0,0.3,0.4428,0.2971,0.59,0.75,0.55,0.9
good,hard,good,Low noise,All BM25-findable gold passages retained; remaining slots are distractors.,1,20,0.25,0.1,0.45,0.4974,0.3433,0.6488,0.75,0.55,0.9
good,hard,good,Low noise,All BM25-findable gold passages retained; remaining slots are distractors.,3,20,0.25,0.1,0.45,0.4529,0.3,0.6089,0.8,0.6,0.95
good,hard,good,Low noise,All BM25-findable gold passages retained; remaining slots are distractors.,5,20,0.25,0.1,0.45,0.4649,0.3155,0.6176,0.85,0.7,1.0
medium,hard,medium,Medium noise,Half of BM25-findable gold passages retained; remaining slots are distractors.,0,20,0.15,0.0,0.3,0.3417,0.1872,0.5082,0.45,0.25,0.65
medium,hard,medium,Medium noise,Half of BM25-findable gold passages retained; remaining slots are distractors.,1,20,0.15,0.0,0.3,0.2968,0.1489,0.4593,0.5,0.3,0.7
medium,hard,medium,Medium noise,Half of BM25-findable gold passages retained; remaining slots are distractors.,3,20,0.15,0.0,0.3,0.2975,0.1539,0.4576,0.45,0.25,0.65
medium,hard,medium,Medium noise,Half of BM25-findable gold passages retained; remaining slots are distractors.,5,20,0.15,0.0,0.3,0.3522,0.1966,0.5157,0.6,0.4,0.8
bad,hard,bad,High noise,15% of BM25-findable gold passages retained (at least one); remaining slots are distractors.,0,20,0.1,0.0,0.25,0.2029,0.0819,0.3476,0.2,0.05,0.4
bad,hard,bad,High noise,15% of BM25-findable gold passages retained (at least one); remaining slots are distractors.,1,20,0.1,0.0,0.25,0.1598,0.0445,0.3044,0.2,0.05,0.4
bad,hard,bad,High noise,15% of BM25-findable gold passages retained (at least one); remaining slots are distractors.,3,20,0.1,0.0,0.25,0.1652,0.0506,0.3093,0.25,0.1,0.45
bad,hard,bad,High noise,15% of BM25-findable gold passages retained (at least one); remaining slots are distractors.,5,20,0.1,0.0,0.25,0.163,0.0474,0.3071,0.3,0.1,0.5
easy_good,easy,good,Low noise,All BM25-findable gold passages retained; remaining slots are distractors.,0,20,0.25,0.1,0.45,0.538,0.3827,0.6879,0.85,0.7,1.0
easy_good,easy,good,Low noise,All BM25-findable gold passages retained; remaining slots are distractors.,1,20,0.3,0.1,0.5,0.5348,0.3818,0.6877,0.9,0.75,1.0
easy_good,easy,good,Low noise,All BM25-findable gold passages retained; remaining slots are distractors.,3,20,0.25,0.1,0.45,0.4509,0.3032,0.6028,0.8,0.6,0.95
easy_good,easy,good,Low noise,All BM25-findable gold passages retained; remaining slots are distractors.,5,20,0.2,0.05,0.4,0.4486,0.3055,0.5983,0.85,0.7,1.0
easy_medium,easy,medium,Medium noise,Half of BM25-findable gold passages retained; remaining slots are distractors.,0,20,0.15,0.0,0.3,0.3581,0.2116,0.5149,0.6,0.4,0.8
easy_medium,easy,medium,Medium noise,Half of BM25-findable gold passages retained; remaining slots are distractors.,1,20,0.15,0.0,0.3,0.2184,0.0782,0.3836,0.4,0.2,0.6
easy_medium,easy,medium,Medium noise,Half of BM25-findable gold passages retained; remaining slots are distractors.,3,20,0.15,0.0,0.3,0.3302,0.1845,0.4887,0.6,0.4,0.8
easy_medium,easy,medium,Medium noise,Half of BM25-findable gold passages retained; remaining slots are distractors.,5,20,0.15,0.0,0.3,0.3037,0.1552,0.4661,0.5,0.3,0.7
easy_bad,easy,bad,High noise,15% of BM25-findable gold passages retained (at least one); remaining slots are distractors.,0,20,0.1,0.0,0.25,0.1643,0.0443,0.3116,0.2,0.05,0.4
easy_bad,easy,bad,High noise,15% of BM25-findable gold passages retained (at least one); remaining slots are distractors.,1,20,0.05,0.0,0.15,0.1178,0.02,0.2462,0.2,0.05,0.4
easy_bad,easy,bad,High noise,15% of BM25-findable gold passages retained (at least one); remaining slots are distractors.,3,20,0.05,0.0,0.15,0.1075,0.0272,0.2267,0.25,0.1,0.45
easy_bad,easy,bad,High noise,15% of BM25-findable gold passages retained (at least one); remaining slots are distractors.,5,20,0.05,0.0,0.15,0.1363,0.0375,0.2711,0.25,0.1,0.45
