comparison,condition,depth,metric,delta,lo,hi,p_value,n
available_depth_minus_depth0,signal_1_0,1,em,0.0,0.0,0.0,1.0,2
available_depth_minus_depth0,signal_1_0,1,f1,-0.12735548764960536,-0.20757575757575764,-0.04713521772345308,0.0,2
available_depth_minus_depth0,signal_1_0,1,bertscore_f1,-0.057291749999999975,-0.12583270000000002,0.01124920000000007,0.5006,2
available_depth_minus_depth0,signal_1_0,3,em,-0.35,-0.6,-0.09999999999999998,0.0,2
available_depth_minus_depth0,signal_1_0,3,f1,-0.3619264722205899,-0.5852647352647353,-0.13858820917644443,0.0,2
available_depth_minus_depth0,signal_1_0,3,bertscore_f1,-0.2416691,-0.4332447,-0.05009350000000001,0.0,2
available_depth_minus_depth0,signal_1_0,5,em,-0.39999999999999997,-0.6,-0.19999999999999996,0.0,2
available_depth_minus_depth0,signal_1_0,5,f1,-0.43937403010932424,-0.690159851042204,-0.18858820917644448,0.0,2
available_depth_minus_depth0,signal_1_0,5,bertscore_f1,-0.28670684999999996,-0.481448,-0.09196569999999993,0.0,2
available_depth_minus_depth0,signal_0_5,1,em,0.09999999999999998,0.0,0.19999999999999996,0.5006,2
available_depth_minus_depth0,signal_0_5,1,f1,-0.05491299550123088,-0.4390476190476192,0.3292216280451574,0.5006,2
available_depth_minus_depth0,signal_0_5,1,bertscore_f1,-0.046958399999999983,-0.3122864,0.21836960000000005,0.5006,2
available_depth_minus_depth0,signal_0_5,3,em,-0.1,-0.2,0.0,0.5006,2
available_depth_minus_depth0,signal_0_5,3,f1,-0.25453781512605045,-0.6771428571428573,0.16806722689075637,0.5006,2
available_depth_minus_depth0,signal_0_5,3,bertscore_f1,-0.15662560000000003,-0.40978000000000003,0.09652879999999997,0.5006,2
available_depth_minus_depth0,signal_0_5,5,em,0.1,-0.2,0.4,0.5006,2
available_depth_minus_depth0,signal_0_5,5,f1,-0.11806162464986003,-0.6118095238095239,0.37568627450980385,0.5006,2
available_depth_minus_depth0,signal_0_5,5,bertscore_f1,-0.06211020000000009,-0.4418020000000001,0.3175815999999999,0.5006,2
available_depth_minus_depth0,signal_0_1,1,em,0.0,0.0,0.0,1.0,2
available_depth_minus_depth0,signal_0_1,1,f1,-0.0222222222222222,-0.0444444444444444,0.0,0.5006,2
available_depth_minus_depth0,signal_0_1,1,bertscore_f1,0.06512449999999997,0.02906999999999993,0.10117900000000002,0.0,2
available_depth_minus_depth0,signal_0_1,3,em,-0.5,-1.0,0.0,0.5006,2
available_depth_minus_depth0,signal_0_1,3,f1,-0.3530303030303031,-0.5,-0.20606060606060617,0.0,2
available_depth_minus_depth0,signal_0_1,3,bertscore_f1,-0.068751,-0.098387,-0.03911500000000001,0.0,2
available_depth_minus_depth0,signal_0_1,5,em,-0.5,-1.0,0.0,0.5006,2
available_depth_minus_depth0,signal_0_1,5,f1,-0.42254901960784313,-0.5,-0.34509803921568627,0.0,2
available_depth_minus_depth0,signal_0_1,5,bertscore_f1,-0.17404800000000004,-0.21596000000000004,-0.13213600000000003,0.0,2
