condition,signal_ratio,depth,n,available_em,available_em_lo,available_em_hi,overall_em,available_f1,available_f1_lo,available_f1_hi,overall_f1,available_bertscore_f1,available_bertscore_f1_lo,available_bertscore_f1_hi,overall_bertscore_f1
signal_1_0,1.0,0,20,0.715,0.615,0.795,0.715,0.8593,0.7788,0.9104,0.8593,0.7915,0.72,0.8397,0.7915
signal_1_0,1.0,1,20,0.515,0.42,0.605,0.515,0.6204,0.5261,0.713,0.6204,0.6552,0.5918,0.7156,0.6552
signal_1_0,1.0,3,20,0.445,0.32,0.57,0.445,0.5514,0.4253,0.6734,0.5514,0.5916,0.4907,0.6866,0.5916
signal_1_0,1.0,5,20,0.36,0.245,0.48,0.36,0.4892,0.3713,0.6059,0.4892,0.549,0.4508,0.6441,0.549
signal_0_5,0.5,0,20,0.68,0.59,0.77,0.35,0.7946,0.7364,0.8514,0.4174,0.8048,0.7481,0.8568,0.5255
signal_0_5,0.5,1,20,0.52,0.39,0.65,0.275,0.6281,0.5125,0.7341,0.3435,0.6451,0.5431,0.7404,0.4616
signal_0_5,0.5,3,20,0.38,0.28,0.49,0.21,0.5201,0.4068,0.6286,0.3055,0.5689,0.4777,0.6604,0.4433
signal_0_5,0.5,5,20,0.39,0.26,0.52,0.22,0.4948,0.3578,0.6243,0.2944,0.5722,0.4631,0.6732,0.4355
signal_0_1,0.1,0,20,0.6,0.4,0.8,0.1,0.7738,0.6053,0.9167,0.1356,0.7227,0.5811,0.8548,0.3162
signal_0_1,0.1,1,20,0.65,0.45,0.85,0.14,0.796,0.623,0.9389,0.2047,0.7572,0.6196,0.8783,0.3723
signal_0_1,0.1,3,20,0.4,0.2,0.6,0.105,0.6153,0.425,0.7924,0.1816,0.6249,0.4663,0.7733,0.361
signal_0_1,0.1,5,20,0.55,0.35,0.75,0.11,0.6244,0.425,0.8194,0.1722,0.6663,0.5133,0.8128,0.3463
