arm,arm_group,depth,n,document_rate,parametric_rate,both_rate,other_rate,document_n,parametric_n,both_n,other_n
concise_shrink,baseline,0,26,0.9615384615384616,0.0,0.0,0.038461538461538464,25,0,0,1
concise_shrink,baseline,1,26,0.8461538461538461,0.11538461538461539,0.0,0.038461538461538464,22,3,0,1
concise_shrink,baseline,2,26,0.8846153846153846,0.038461538461538464,0.0,0.07692307692307693,23,1,0,2
concise_shrink,baseline,3,26,0.8461538461538461,0.11538461538461539,0.0,0.038461538461538464,22,3,0,1
control,baseline,0,26,0.9615384615384616,0.0,0.0,0.038461538461538464,25,0,0,1
control,baseline,1,26,0.7692307692307693,0.19230769230769232,0.0,0.038461538461538464,20,5,0,1
control,baseline,2,26,0.7307692307692307,0.19230769230769232,0.0,0.07692307692307693,19,5,0,2
control,baseline,3,26,0.6538461538461539,0.2692307692307692,0.0,0.07692307692307693,17,7,0,2
inform_expand,expand,0,26,0.9615384615384616,0.0,0.0,0.038461538461538464,25,0,0,1
inform_expand,expand,1,26,0.7692307692307693,0.15384615384615385,0.0,0.07692307692307693,20,4,0,2
inform_expand,expand,2,26,0.6923076923076923,0.15384615384615385,0.0,0.15384615384615385,18,4,0,4
inform_expand,expand,3,26,0.6538461538461539,0.19230769230769232,0.0,0.15384615384615385,17,5,0,4
inform_lsl,trajectory,0,26,0.9615384615384616,0.0,0.0,0.038461538461538464,25,0,0,1
inform_lsl,trajectory,1,26,0.7692307692307693,0.15384615384615385,0.0,0.07692307692307693,20,4,0,2
inform_lsl,trajectory,2,26,0.7307692307692307,0.19230769230769232,0.0,0.07692307692307693,19,5,0,2
inform_lsl,trajectory,3,26,0.7307692307692307,0.19230769230769232,0.0,0.07692307692307693,19,5,0,2
inform_shrink,shrink,0,26,0.9615384615384616,0.0,0.0,0.038461538461538464,25,0,0,1
inform_shrink,shrink,1,26,0.7307692307692307,0.23076923076923078,0.0,0.038461538461538464,19,6,0,1
inform_shrink,shrink,2,26,0.7307692307692307,0.19230769230769232,0.0,0.07692307692307693,19,5,0,2
inform_shrink,shrink,3,26,0.7692307692307693,0.11538461538461539,0.0,0.11538461538461539,20,3,0,3
resize_expand,expand,0,26,0.9615384615384616,0.0,0.0,0.038461538461538464,25,0,0,1
resize_expand,expand,1,26,0.6153846153846154,0.23076923076923078,0.0,0.15384615384615385,16,6,0,4
resize_expand,expand,2,26,0.5,0.3076923076923077,0.0,0.19230769230769232,13,8,0,5
resize_expand,expand,3,26,0.4230769230769231,0.38461538461538464,0.0,0.19230769230769232,11,10,0,5
resize_lsl,trajectory,0,26,0.9615384615384616,0.0,0.0,0.038461538461538464,25,0,0,1
resize_lsl,trajectory,1,26,0.6153846153846154,0.23076923076923078,0.0,0.15384615384615385,16,6,0,4
resize_lsl,trajectory,2,26,0.6153846153846154,0.2692307692307692,0.0,0.11538461538461539,16,7,0,3
resize_lsl,trajectory,3,26,0.5769230769230769,0.23076923076923078,0.0,0.19230769230769232,15,6,0,5
resize_shrink,shrink,0,26,0.9615384615384616,0.0,0.0,0.038461538461538464,25,0,0,1
resize_shrink,shrink,1,26,0.6923076923076923,0.2692307692307692,0.0,0.038461538461538464,18,7,0,1
resize_shrink,shrink,2,26,0.6538461538461539,0.3076923076923077,0.0,0.038461538461538464,17,8,0,1
resize_shrink,shrink,3,26,0.6923076923076923,0.2692307692307692,0.0,0.038461538461538464,18,7,0,1
resize_sse,trajectory,0,26,0.9615384615384616,0.0,0.0,0.038461538461538464,25,0,0,1
resize_sse,trajectory,1,26,0.6923076923076923,0.2692307692307692,0.0,0.038461538461538464,18,7,0,1
resize_sse,trajectory,2,26,0.6538461538461539,0.3076923076923077,0.0,0.038461538461538464,17,8,0,1
resize_sse,trajectory,3,26,0.6538461538461539,0.2692307692307692,0.0,0.07692307692307693,17,7,0,2
