contrast,asks,dataset,depth,measure,arm_a,arm_b,n_pairs,shared_stages,mean_a,mean_b,delta,delta_lo,delta_hi,p_value,excludes_zero
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,summary_words,inform_shrink,control,26,0,225.6153846153846,159.5,66.11538461538461,37.23076923076923,102.15480769230768,0.0007,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,summary_characters,inform_shrink,control,26,0,1441.8461538461538,1021.4230769230769,420.4230769230769,232.88365384615386,648.7336538461539,0.0006,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,estimated_tokens,inform_shrink,control,26,0,389.1923076923077,275.46153846153845,113.73076923076923,63.07596153846155,175.46153846153845,0.0006,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,length_ratio,inform_shrink,control,26,0,1.0161615384615386,0.7707961538461541,0.24536538461538462,0.14624519230769234,0.3539829807692307,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,internal_repetition,inform_shrink,control,26,0,0.0031095384615384618,0.0021692692307692307,0.0009402692307692307,-0.0014705423076923072,0.003693080769230769,0.4686,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,novel_token_rate,inform_shrink,control,26,0,0.37347692307692315,0.38816153846153845,-0.014684615384615383,-0.060708173076923076,0.028284807692307682,0.5119,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,retained_token_rate,inform_shrink,control,26,0,0.5827884615384615,0.44389999999999996,0.13888846153846154,0.07580269230769232,0.20608125,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,ngram_copy_rate,inform_shrink,control,26,0,0.19708846153846155,0.13927307692307694,0.05781538461538463,0.01114365384615387,0.10761298076923076,0.0176,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,target_fact_present,inform_shrink,control,26,0,0.8846153846153846,0.8076923076923077,0.07692307692307693,-0.07692307692307693,0.23076923076923078,0.4336,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,side_fact_retention,inform_shrink,control,26,0,0.7307692307692307,0.5846153846153845,0.14615384615384613,0.05384615384615385,0.2384615384615385,0.0032,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,parametric_present,inform_shrink,control,26,0,0.0,0.0,0.0,0.0,0.0,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,unsupported_count,inform_shrink,control,26,0,1.6923076923076923,2.076923076923077,-0.38461538461538464,-0.7692307692307693,0.038461538461538464,0.0833,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,unsupported_invented_count,inform_shrink,control,26,0,1.5769230769230769,1.8076923076923077,-0.23076923076923078,-0.6153846153846154,0.19230769230769232,0.3195,False
