arm,arm_group,schedule,item_id,dataset,fact_id,fact_role,has_parametric,present_stage1,present_stage2,present_stage3,was_lost,lost_at_stage,reappeared,reappeared_at_stage,survived_throughout,recovered_document,reverted_parametric,both_values_after_loss,fabricated_after_loss,corrupted_after_loss
control,baseline,none|none|none,cfk:1,counterfactual,cfk:1:target,target,True,True,True,True,False,,False,,True,False,False,False,False,False
control,baseline,none|none|none,cfk:1,counterfactual,cfk:1:side1,side,True,True,True,True,False,,False,,True,False,False,False,False,False
control,baseline,none|none|none,cfk:1,counterfactual,cfk:1:side2,side,True,False,False,False,False,,False,,False,False,False,False,False,False
control,baseline,none|none|none,cfk:1,counterfactual,cfk:1:side3,side,True,False,False,False,False,,False,,False,False,False,False,False,False
control,baseline,none|none|none,cfk:1,counterfactual,cfk:1:side4,side,True,False,False,False,False,,False,,False,False,False,False,False,False
control,baseline,none|none|none,cfk:1,counterfactual,cfk:1:side5,side,True,False,False,False,False,,False,,False,False,False,False,False,False
control,baseline,none|none|none,cfk:2,counterfactual,cfk:2:target,target,True,False,False,False,False,,False,,False,False,False,False,False,False
control,baseline,none|none|none,cfk:2,counterfactual,cfk:2:side1,side,True,True,True,True,False,,False,,True,False,False,False,False,False
control,baseline,none|none|none,cfk:2,counterfactual,cfk:2:side2,side,True,True,True,True,False,,False,,True,False,False,False,False,False
control,baseline,none|none|none,cfk:2,counterfactual,cfk:2:side3,side,True,False,False,False,False,,False,,False,False,False,False,False,False
control,baseline,none|none|none,cfk:2,counterfactual,cfk:2:side4,side,True,True,True,True,False,,False,,True,False,False,False,False,False
control,baseline,none|none|none,cfk:2,counterfactual,cfk:2:side5,side,True,False,False,False,False,,False,,False,False,False,False,False,False
control,baseline,none|none|none,cfk:3,counterfactual,cfk:3:target,target,True,True,True,True,False,,False,,True,False,False,False,False,False
control,baseline,none|none|none,cfk:3,counterfactual,cfk:3:side1,side,True,True,True,True,False,,False,,True,False,False,False,False,False
control,baseline,none|none|none,cfk:3,counterfactual,cfk:3:side2,side,True,True,True,True,False,,False,,True,False,False,False,False,False
control,baseline,none|none|none,cfk:3,counterfactual,cfk:3:side3,side,True,True,True,True,False,,False,,True,False,False,False,False,False
control,baseline,none|none|none,cfk:3,counterfactual,cfk:3:side4,side,True,True,True,True,False,,False,,True,False,False,False,False,False
control,baseline,none|none|none,cfk:3,counterfactual,cfk:3:side5,side,True,True,True,True,False,,False,,True,False,False,False,False,False
control,baseline,none|none|none,cfk:4,counterfactual,cfk:4:target,target,True,True,True,True,False,,False,,True,False,False,False,False,False
control,baseline,none|none|none,cfk:4,counterfactual,cfk:4:side1,side,True,False,False,False,False,,False,,False,False,False,False,False,False
control,baseline,none|none|none,cfk:4,counterfactual,cfk:4:side2,side,True,True,True,True,False,,False,,True,False,False,False,False,False
control,baseline,none|none|none,cfk:4,counterfactual,cfk:4:side3,side,True,True,False,False,True,2,False,,False,False,False,False,True,False
