dataset,arm,arm_group,fact_role,facts,survived_throughout_rate,loss_rate,facts_lost,recovery_rate_given_lost,reversion_rate_given_lost,fabrication_rate_given_lost,corruption_rate_given_lost,both_values_rate_given_lost
counterfactual,concise_shrink,baseline,side,130,0.2692307692307692,0.046153846153846156,6,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0
counterfactual,concise_shrink,baseline,target,26,0.8846153846153846,0.038461538461538464,1,0.0,0.0,0.0,0.0,0.0
counterfactual,control,baseline,side,130,0.5230769230769231,0.06153846153846154,8,0.0,0.0,0.875,0.625,0.0
counterfactual,control,baseline,target,26,0.8076923076923077,0.0,0,nan,nan,nan,nan,nan
counterfactual,inform_expand,expand,side,130,0.6923076923076923,0.038461538461538464,5,0.0,0.0,0.6,0.4,0.0
counterfactual,inform_expand,expand,target,26,0.8461538461538461,0.0,0,nan,nan,nan,nan,nan
counterfactual,inform_lsl,trajectory,side,130,0.7,0.03076923076923077,4,0.0,0.0,0.75,0.5,0.0
counterfactual,inform_lsl,trajectory,target,26,0.8461538461538461,0.0,0,nan,nan,nan,nan,nan
counterfactual,inform_shrink,shrink,side,130,0.7153846153846154,0.015384615384615385,2,0.0,0.0,1.0,1.0,0.0
counterfactual,inform_shrink,shrink,target,26,0.8461538461538461,0.038461538461538464,1,0.0,0.0,1.0,0.0,0.0
counterfactual,resize_expand,expand,side,130,0.7846153846153846,0.09230769230769231,12,0.0,0.0,0.4166666666666667,0.5833333333333334,0.0
counterfactual,resize_expand,expand,target,26,0.6153846153846154,0.07692307692307693,2,0.0,0.0,0.0,0.0,0.0
counterfactual,resize_lsl,trajectory,side,130,0.7846153846153846,0.09230769230769231,12,0.0,0.0,0.4166666666666667,0.5,0.0
counterfactual,resize_lsl,trajectory,target,26,0.6153846153846154,0.07692307692307693,2,0.5,0.0,0.0,0.0,0.0
counterfactual,resize_shrink,shrink,side,130,0.6692307692307692,0.06923076923076923,9,0.0,0.0,0.8888888888888888,0.8888888888888888,0.0
counterfactual,resize_shrink,shrink,target,26,0.8461538461538461,0.038461538461538464,1,0.0,0.0,1.0,0.0,0.0
counterfactual,resize_sse,trajectory,side,130,0.6846153846153846,0.05384615384615385,7,0.0,0.0,1.0,0.8571428571428571,0.0
counterfactual,resize_sse,trajectory,target,26,0.8076923076923077,0.07692307692307693,2,0.0,0.0,0.5,0.5,0.0
fictional,concise_shrink,baseline,side,100,0.17,0.01,1,0.0,0.0,0.0,0.0,0.0
fictional,concise_shrink,baseline,target,20,0.8,0.0,0,nan,nan,nan,nan,nan
fictional,control,baseline,side,100,0.38,0.0,0,nan,nan,nan,nan,nan
fictional,control,baseline,target,20,0.95,0.0,0,nan,nan,nan,nan,nan
fictional,inform_expand,expand,side,100,0.61,0.0,0,nan,nan,nan,nan,nan
fictional,inform_expand,expand,target,20,0.95,0.05,1,0.0,0.0,1.0,0.0,0.0
fictional,inform_lsl,trajectory,side,100,0.61,0.0,0,nan,nan,nan,nan,nan
fictional,inform_lsl,trajectory,target,20,0.95,0.05,1,0.0,0.0,1.0,0.0,0.0
fictional,inform_shrink,shrink,side,100,0.59,0.01,1,0.0,0.0,1.0,1.0,0.0
fictional,inform_shrink,shrink,target,20,0.95,0.0,0,nan,nan,nan,nan,nan
fictional,resize_expand,expand,side,100,0.91,0.0,0,nan,nan,nan,nan,nan
fictional,resize_expand,expand,target,20,0.85,0.0,0,nan,nan,nan,nan,nan
fictional,resize_lsl,trajectory,side,100,0.89,0.02,2,0.0,0.0,0.5,0.0,0.0
fictional,resize_lsl,trajectory,target,20,0.85,0.0,0,nan,nan,nan,nan,nan
fictional,resize_shrink,shrink,side,100,0.6,0.01,1,0.0,0.0,1.0,1.0,0.0
fictional,resize_shrink,shrink,target,20,0.85,0.0,0,nan,nan,nan,nan,nan
fictional,resize_sse,trajectory,side,100,0.6,0.01,1,0.0,0.0,1.0,1.0,0.0
fictional,resize_sse,trajectory,target,20,0.8,0.05,1,0.0,0.0,1.0,0.0,0.0
