contrast,asks,dataset,depth,measure,arm_a,arm_b,n_pairs,shared_stages,mean_a,mean_b,delta,delta_lo,delta_hi,p_value,excludes_zero
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,summary_words,inform_shrink,control,26,0,216.42307692307693,144.57692307692307,71.84615384615384,52.26923076923077,96.92307692307692,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,summary_characters,inform_shrink,control,26,0,1381.8461538461538,924.4230769230769,457.4230769230769,329.46153846153845,620.3480769230769,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,estimated_tokens,inform_shrink,control,26,0,372.96153846153845,249.34615384615384,123.61538461538461,89.03846153846153,167.6153846153846,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,length_ratio,inform_shrink,control,26,0,1.0181884615384615,0.6867153846153848,0.3314730769230769,0.24343432692307693,0.4229406730769231,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,internal_repetition,inform_shrink,control,26,0,0.007037230769230769,0.006356884615384615,0.0006803461538461542,-0.005800102884615382,0.007206116346153845,0.8412,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,novel_token_rate,inform_shrink,control,26,0,0.40658846153846157,0.3819576923076923,0.024630769230769227,-0.020985192307692323,0.06847374999999997,0.2782,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,retained_token_rate,inform_shrink,control,26,0,0.5656615384615385,0.3989384615384615,0.16672307692307692,0.10800749999999996,0.23114673076923076,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,ngram_copy_rate,inform_shrink,control,26,0,0.18249615384615386,0.14695769230769232,0.03553846153846155,-0.008022307692307662,0.08105442307692305,0.1146,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,target_fact_present,inform_shrink,control,26,0,0.8461538461538461,0.8076923076923077,0.038461538461538464,-0.07692307692307693,0.19230769230769232,0.7543,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,side_fact_retention,inform_shrink,control,26,0,0.6769230769230768,0.5307692307692308,0.1461538461538462,0.06153846153846154,0.24615384615384617,0.0029,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,parametric_present,inform_shrink,control,26,0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.11538461538461539,0.6227,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,unsupported_count,inform_shrink,control,26,0,2.0,1.9615384615384615,0.038461538461538464,-0.6153846153846154,0.7692307692307693,0.9542,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,unsupported_invented_count,inform_shrink,control,26,0,1.7307692307692308,1.8461538461538463,-0.11538461538461539,-0.7307692307692307,0.5,0.7505,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,unsupported_corrupted_count,inform_shrink,control,26,0,0.2692307692307692,0.11538461538461539,0.15384615384615385,-0.07692307692307693,0.38461538461538464,0.2468,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,unsupported_rate,inform_shrink,control,26,0,0.14123605373307682,0.15063152097565052,-0.00939546724257369,-0.054811956102925656,0.03796833311762458,0.6855,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,tracked_variant_count,inform_shrink,control,26,0,5.653846153846154,4.846153846153846,0.8076923076923077,-0.38461538461538464,2.0,0.1986,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,unsupported_claims,inform_shrink,control,26,0,1.5,1.0769230769230769,0.4230769230769231,-0.038461538461538464,0.8846153846153846,0.081,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,semantic_preserved,inform_shrink,control,26,0,0.6730769230769231,0.36538461538461536,0.3076923076923077,0.19230769230769232,0.4423076923076923,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,truncated,inform_shrink,control,26,0,0.0,0.0,0.0,0.0,0.0,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,em,inform_shrink,control,26,0,0.7692307692307693,0.7692307692307693,0.0,-0.11538461538461539,0.11538461538461539,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,f1,inform_shrink,control,26,0,0.7884615384615384,0.7948717948717948,-0.006410256410256405,-0.12179487179487179,0.10897435897435898,0.8913,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,judge_correct,inform_shrink,control,26,0,0.7692307692307693,0.7692307692307693,0.0,-0.11538461538461539,0.11538461538461539,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,parametric_judge_correct,inform_shrink,control,26,0,0.11538461538461539,0.15384615384615385,-0.038461538461538464,-0.15384615384615385,0.07692307692307693,0.7585,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,side_judge_correct,inform_shrink,control,26,0,0.6923076923076923,0.5769230769230769,0.11538461538461539,-0.038461538461538464,0.2692307692307692,0.2413,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,1,side_f1,inform_shrink,control,26,0,0.5412087912087912,0.4835164835164835,0.057692307692307696,-0.038461538461538464,0.19230769230769232,0.4096,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,summary_words,inform_shrink,control,26,0,246.0,154.0,92.0,72.57692307692308,115.88557692307691,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,summary_characters,inform_shrink,control,26,0,1579.4615384615386,994.6153846153846,584.8461538461538,460.2307692307692,738.8076923076923,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,estimated_tokens,inform_shrink,control,26,0,426.38461538461536,268.2692307692308,158.1153846153846,124.46153846153847,199.69230769230768,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,length_ratio,inform_shrink,control,26,0,1.1551846153846155,1.0883269230769232,0.06685769230769228,-0.01940951923076922,0.1429149038461538,0.1061,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,internal_repetition,inform_shrink,control,26,0,0.013245192307692307,0.006660153846153847,0.0065850384615384625,0.0005901057692307712,0.012954322115384614,0.0363,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,novel_token_rate,inform_shrink,control,26,0,0.18855000000000002,0.1802,0.00835,-0.05115865384615382,0.0627351923076923,0.7732,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,retained_token_rate,inform_shrink,control,26,0,0.9209346153846154,0.8645538461538462,0.05638076923076924,0.023384230769230782,0.0904389423076923,0.0009,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,ngram_copy_rate,inform_shrink,control,26,0,0.5934807692307693,0.45665384615384613,0.13682692307692307,0.03592596153846154,0.24035307692307686,0.0096,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,target_fact_present,inform_shrink,control,26,0,0.8461538461538461,0.8076923076923077,0.038461538461538464,-0.07692307692307693,0.19230769230769232,0.7543,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,side_fact_retention,inform_shrink,control,26,0,0.6692307692307693,0.523076923076923,0.1461538461538462,0.06153846153846154,0.24615384615384617,0.0029,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,parametric_present,inform_shrink,control,26,0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.11538461538461539,0.6227,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,unsupported_count,inform_shrink,control,26,0,2.3846153846153846,2.3846153846153846,0.0,-0.6923076923076923,0.6923076923076923,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,unsupported_invented_count,inform_shrink,control,26,0,1.9615384615384615,2.230769230769231,-0.2692307692307692,-0.8846153846153846,0.34615384615384615,0.4284,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,unsupported_corrupted_count,inform_shrink,control,26,0,0.4230769230769231,0.15384615384615385,0.2692307692307692,0.07692307692307693,0.5384615384615384,0.0394,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,unsupported_rate,inform_shrink,control,26,0,0.15866335507522483,0.17762373422798527,-0.018960379152760398,-0.06541912542403915,0.031365191992386875,0.4424,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,tracked_variant_count,inform_shrink,control,26,0,7.269230769230769,5.923076923076923,1.3461538461538463,0.23076923076923078,2.5384615384615383,0.0254,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,unsupported_claims,inform_shrink,control,26,0,1.5769230769230769,1.3846153846153846,0.19230769230769232,-0.2692307692307692,0.6538461538461539,0.4537,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,semantic_preserved,inform_shrink,control,26,0,0.9615384615384616,1.0,-0.038461538461538464,-0.09615384615384616,0.0,0.265,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,truncated,inform_shrink,control,26,0,0.0,0.0,0.0,0.0,0.0,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,em,inform_shrink,control,26,0,0.7692307692307693,0.8076923076923077,-0.038461538461538464,-0.11538461538461539,0.0,0.6164,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,f1,inform_shrink,control,26,0,0.7884615384615384,0.8333333333333333,-0.044871794871794865,-0.1282051282051282,0.0,0.2443,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,judge_correct,inform_shrink,control,26,0,0.7692307692307693,0.8076923076923077,-0.038461538461538464,-0.11538461538461539,0.0,0.6164,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,parametric_judge_correct,inform_shrink,control,26,0,0.11538461538461539,0.11538461538461539,0.0,-0.11538461538461539,0.11538461538461539,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,side_judge_correct,inform_shrink,control,26,0,0.6538461538461539,0.5384615384615384,0.11538461538461539,-0.038461538461538464,0.2692307692307692,0.2413,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,2,side_f1,inform_shrink,control,26,0,0.5384615384615384,0.4730769230769231,0.06538461538461539,-0.03076923076923077,0.19230769230769232,0.2765,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,summary_words,inform_shrink,control,26,0,284.11538461538464,164.6153846153846,119.5,99.57692307692308,140.80769230769232,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,summary_characters,inform_shrink,control,26,0,1831.0,1064.423076923077,766.5769230769231,643.6528846153847,902.2009615384615,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,estimated_tokens,inform_shrink,control,26,0,494.46153846153845,287.11538461538464,207.34615384615384,174.15288461538464,243.96249999999998,0.0,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,length_ratio,inform_shrink,control,26,0,1.1720269230769231,1.0792461538461537,0.09278076923076926,0.036895673076923124,0.14852528846153848,0.001,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,internal_repetition,inform_shrink,control,26,0,0.01911246153846154,0.0053938846153846155,0.013718576923076924,0.006258550000000001,0.021833799038461527,0.0006,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,novel_token_rate,inform_shrink,control,26,0,0.15353461538461538,0.14835384615384614,0.005180769230769227,-0.03048942307692307,0.040843076923076926,0.7761,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,retained_token_rate,inform_shrink,control,26,0,0.9757846153846154,0.9152153846153847,0.06056923076923077,0.027124903846153854,0.09684740384615381,0.0007,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,ngram_copy_rate,inform_shrink,control,26,0,0.7408653846153845,0.5835961538461538,0.15726923076923077,0.0712429807692308,0.24412740384615375,0.0002,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,target_fact_present,inform_shrink,control,26,0,0.8461538461538461,0.8076923076923077,0.038461538461538464,-0.07692307692307693,0.19230769230769232,0.7543,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,side_fact_retention,inform_shrink,control,26,0,0.6692307692307693,0.5153846153846153,0.15384615384615385,0.06923076923076923,0.2538461538461539,0.0024,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,parametric_present,inform_shrink,control,26,0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.11538461538461539,0.6227,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,unsupported_count,inform_shrink,control,26,0,3.0384615384615383,2.769230769230769,0.2692307692307692,-0.3076923076923077,0.8461538461538461,0.3993,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,unsupported_invented_count,inform_shrink,control,26,0,2.5,2.5,0.0,-0.5769230769230769,0.6153846153846154,1.0,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,unsupported_corrupted_count,inform_shrink,control,26,0,0.5384615384615384,0.2692307692307692,0.2692307692307692,0.11538461538461539,0.46153846153846156,0.0031,True
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,unsupported_rate,inform_shrink,control,26,0,0.20281345060697284,0.2231656445219198,-0.020352193914946946,-0.05755287018028146,0.020697366640001793,0.3074,False
inform_shrink_vs_control,does merely knowing the receiver is small change the handoff?,counterfactual,3,tracked_variant_count,inform_shrink,control,26,0,8.615384615384615,6.230769230769231,2.3846153846153846,0.9615384615384616,3.962499999999986,0.0026,True
