dataset,arm,arm_group,fact_role,facts,survived_throughout_rate,loss_rate,facts_lost,recovery_rate_given_lost,reversion_rate_given_lost,fabrication_rate_given_lost,corruption_rate_given_lost,both_values_rate_given_lost
counterfactual,concise_shrink,baseline,side,130,0.23846153846153847,0.023076923076923078,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
counterfactual,concise_shrink,baseline,target,26,0.9230769230769231,0.0,0,nan,nan,nan,nan,nan
counterfactual,control,baseline,side,130,0.5153846153846153,0.015384615384615385,2,0.0,0.0,1.0,1.0,0.0
counterfactual,control,baseline,target,26,0.8076923076923077,0.0,0,nan,nan,nan,nan,nan
counterfactual,inform_expand,expand,side,130,0.6307692307692307,0.023076923076923078,3,0.0,0.0,0.6666666666666666,1.0,0.0
counterfactual,inform_expand,expand,target,26,0.8076923076923077,0.0,0,nan,nan,nan,nan,nan
counterfactual,inform_lsl,trajectory,side,130,0.5923076923076923,0.06153846153846154,8,0.0,0.0,1.0,1.0,0.0
counterfactual,inform_lsl,trajectory,target,26,0.8076923076923077,0.0,0,nan,nan,nan,nan,nan
counterfactual,inform_shrink,shrink,side,130,0.6692307692307692,0.007692307692307693,1,0.0,0.0,0.0,1.0,0.0
counterfactual,inform_shrink,shrink,target,26,0.8461538461538461,0.0,0,nan,nan,nan,nan,nan
counterfactual,resize_expand,expand,side,130,0.8307692307692308,0.038461538461538464,5,0.0,0.0,0.8,0.8,0.0
counterfactual,resize_expand,expand,target,26,0.8461538461538461,0.11538461538461539,3,0.0,0.0,0.3333333333333333,0.0,0.0
counterfactual,resize_lsl,trajectory,side,130,0.7615384615384615,0.1076923076923077,14,0.0,0.0,0.6428571428571429,0.5714285714285714,0.0
counterfactual,resize_lsl,trajectory,target,26,0.8076923076923077,0.15384615384615385,4,0.0,0.0,0.5,0.5,0.0
counterfactual,resize_shrink,shrink,side,130,0.6307692307692307,0.046153846153846156,6,0.0,0.0,1.0,1.0,0.0
counterfactual,resize_shrink,shrink,target,26,0.8076923076923077,0.0,0,nan,nan,nan,nan,nan
counterfactual,resize_sse,trajectory,side,130,0.6307692307692307,0.046153846153846156,6,0.0,0.0,1.0,1.0,0.0
counterfactual,resize_sse,trajectory,target,26,0.8076923076923077,0.0,0,nan,nan,nan,nan,nan
fictional,concise_shrink,baseline,side,100,0.17,0.01,1,0.0,0.0,0.0,0.0,0.0
fictional,concise_shrink,baseline,target,20,0.8,0.0,0,nan,nan,nan,nan,nan
fictional,control,baseline,side,100,0.32,0.03,3,0.0,0.0,0.6666666666666666,0.0,0.0
fictional,control,baseline,target,20,0.9,0.05,1,0.0,0.0,0.0,0.0,0.0
fictional,inform_expand,expand,side,100,0.61,0.0,0,nan,nan,nan,nan,nan
fictional,inform_expand,expand,target,20,0.85,0.0,0,nan,nan,nan,nan,nan
fictional,inform_lsl,trajectory,side,100,0.61,0.0,0,nan,nan,nan,nan,nan
fictional,inform_lsl,trajectory,target,20,0.8,0.05,1,0.0,0.0,0.0,0.0,0.0
fictional,inform_shrink,shrink,side,100,0.68,0.0,0,nan,nan,nan,nan,nan
fictional,inform_shrink,shrink,target,20,0.9,0.0,0,nan,nan,nan,nan,nan
fictional,resize_expand,expand,side,100,0.95,0.02,2,0.0,0.0,1.0,0.5,0.0
fictional,resize_expand,expand,target,20,0.75,0.1,2,0.0,0.0,0.5,0.0,0.0
fictional,resize_lsl,trajectory,side,100,0.93,0.04,4,0.0,0.0,1.0,0.25,0.0
fictional,resize_lsl,trajectory,target,20,0.7,0.15,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
fictional,resize_shrink,shrink,side,100,0.6,0.02,2,0.0,0.0,0.0,0.0,0.0
fictional,resize_shrink,shrink,target,20,0.75,0.1,2,0.0,0.0,0.5,0.0,0.0
fictional,resize_sse,trajectory,side,100,0.61,0.01,1,0.0,0.0,0.0,1.0,0.0
fictional,resize_sse,trajectory,target,20,0.8,0.05,1,0.0,0.0,1.0,0.0,0.0
