comparison,condition,k,f,depth,metric,delta,lo,hi,p_value,n
depth_minus_depth0,k2_f0,2,0,1,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,k2_f0,2,0,1,f1,0.0,0.0,0.0,1.0,2
depth_minus_depth0,k2_f0,2,0,3,em,-0.5,-0.5,-0.5,0.0,2
depth_minus_depth0,k2_f0,2,0,3,f1,-0.41666666666666663,-0.5,-0.33333333333333326,0.0,2
depth_minus_depth0,k2_f0,2,0,5,em,-0.75,-1.0,-0.5,0.0,2
depth_minus_depth0,k2_f0,2,0,5,f1,-0.75,-1.0,-0.5,0.0,2
depth_minus_depth0,k2_f5,2,5,1,em,-0.25,-0.5,0.0,0.5006,2
depth_minus_depth0,k2_f5,2,5,1,f1,-0.25,-0.5,0.0,0.5006,2
depth_minus_depth0,k2_f5,2,5,3,em,-0.5,-0.5,-0.5,0.0,2
depth_minus_depth0,k2_f5,2,5,3,f1,-0.5,-0.5,-0.5,0.0,2
depth_minus_depth0,k2_f5,2,5,5,em,-0.75,-1.0,-0.5,0.0,2
depth_minus_depth0,k2_f5,2,5,5,f1,-0.71875,-0.9375,-0.5,0.0,2
depth_minus_depth0,k2_f10,2,10,1,em,0.0,-0.5,0.5,1.0,2
depth_minus_depth0,k2_f10,2,10,1,f1,0.1166666666666667,-0.06666666666666665,0.30000000000000004,0.5006,2
depth_minus_depth0,k2_f10,2,10,3,em,-0.25,-0.5,0.0,0.5006,2
depth_minus_depth0,k2_f10,2,10,3,f1,-0.30208333333333337,-0.40416666666666673,-0.19999999999999996,0.0,2
depth_minus_depth0,k2_f10,2,10,5,em,-0.25,-0.5,0.0,0.5006,2
depth_minus_depth0,k2_f10,2,10,5,f1,-0.09999999999999998,-0.19999999999999996,0.0,0.5006,2
depth_minus_depth0,k5_f0,5,0,1,em,-0.09999999999999998,-0.19999999999999996,0.0,0.5006,2
depth_minus_depth0,k5_f0,5,0,1,f1,-0.05999999999999994,-0.11999999999999988,0.0,0.5006,2
depth_minus_depth0,k5_f0,5,0,3,em,-0.2,-0.20000000000000007,-0.19999999999999996,0.0,2
depth_minus_depth0,k5_f0,5,0,3,f1,-0.11428571428571416,-0.19999999999999984,-0.02857142857142847,0.0,2
depth_minus_depth0,k5_f0,5,0,5,em,-0.2,-0.20000000000000007,-0.19999999999999996,0.0,2
depth_minus_depth0,k5_f0,5,0,5,f1,-0.15999999999999992,-0.29142857142857137,-0.02857142857142847,0.0,2
depth_minus_depth0,k5_f5,5,5,1,em,5.551115123125783e-17,-0.19999999999999996,0.20000000000000007,0.5006,2
depth_minus_depth0,k5_f5,5,5,1,f1,5.551115123125783e-17,-0.02857142857142847,0.02857142857142858,0.5006,2
depth_minus_depth0,k5_f5,5,5,3,em,-0.3,-0.4,-0.19999999999999996,0.0,2
depth_minus_depth0,k5_f5,5,5,3,f1,-0.14000000000000007,-0.14857142857142858,-0.13142857142857156,0.0,2
depth_minus_depth0,k5_f5,5,5,5,em,-0.3,-0.6,0.0,0.5006,2
depth_minus_depth0,k5_f5,5,5,5,f1,-0.22000000000000003,-0.34857142857142853,-0.09142857142857153,0.0,2
depth_minus_depth0,k5_f10,5,10,1,em,0.2,0.19999999999999996,0.20000000000000007,0.0,2
depth_minus_depth0,k5_f10,5,10,1,f1,-0.038095238095238015,-0.10476190476190472,0.028571428571428692,0.5006,2
depth_minus_depth0,k5_f10,5,10,3,em,-0.2,-0.4,0.0,0.5006,2
