condition,k,f,depth,n,em,em_lo,em_hi,f1,f1_lo,f1_hi,gold_survival,gold_survival_lo,gold_survival_hi,filler_survival,handoff_chars,compression_ratio
k2_f0,2,0,0,2,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
k2_f0,2,0,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1027.5,0.7733
k2_f0,2,0,3,2,0.5,0.5,0.5,0.5833,0.5,0.6667,0.75,0.5,1.0,nan,917.0,0.6061
k2_f0,2,0,5,2,0.25,0.0,0.5,0.25,0.0,0.5,0.25,0.0,0.5,nan,532.5,0.4074
k2_f5,2,5,0,2,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
k2_f5,2,5,1,2,0.75,0.5,1.0,0.75,0.5,1.0,1.0,1.0,1.0,0.4,965.0,0.201
k2_f5,2,5,3,2,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,1.0,0.4,1975.0,0.411
k2_f5,2,5,5,2,0.25,0.0,0.5,0.2812,0.0625,0.5,0.5,0.5,0.5,0.0,232.5,0.0486
k2_f10,2,10,0,2,0.5,0.5,0.5,0.6833,0.6667,0.7,,,,,,
k2_f10,2,10,1,2,0.5,0.0,1.0,0.8,0.6,1.0,1.0,1.0,1.0,0.0,493.0,0.0544
k2_f10,2,10,3,2,0.25,0.0,0.5,0.3812,0.2625,0.5,0.75,0.5,1.0,0.0,357.5,0.0393
k2_f10,2,10,5,2,0.25,0.0,0.5,0.5833,0.5,0.6667,0.75,0.5,1.0,0.0,504.0,0.055
k5_f0,5,0,0,2,0.9,0.8,1.0,0.9857,0.9714,1.0,,,,,,
k5_f0,5,0,1,2,0.8,0.8,0.8,0.9257,0.88,0.9714,1.0,1.0,1.0,nan,3303.5,0.9808
k5_f0,5,0,3,2,0.7,0.6,0.8,0.8714,0.7714,0.9714,0.9,0.8,1.0,nan,1994.5,0.5822
k5_f0,5,0,5,2,0.7,0.6,0.8,0.8257,0.68,0.9714,0.9,0.8,1.0,nan,1991.0,0.579
k5_f5,5,5,0,2,0.8,0.6,1.0,0.8857,0.7714,1.0,,,,,,
k5_f5,5,5,1,2,0.8,0.8,0.8,0.8857,0.8,0.9714,0.9,0.8,1.0,0.0,1646.5,0.2296
k5_f5,5,5,3,2,0.5,0.4,0.6,0.7457,0.64,0.8514,0.8,0.8,0.8,0.0,1070.5,0.1497
k5_f5,5,5,5,2,0.5,0.4,0.6,0.6657,0.6514,0.68,0.8,0.8,0.8,0.0,1311.0,0.1795
k5_f10,5,10,0,2,0.7,0.6,0.8,0.9381,0.9048,0.9714,,,,,,
k5_f10,5,10,1,2,0.9,0.8,1.0,0.9,0.8,1.0,0.9,0.8,1.0,0.05,1821.0,0.1658
k5_f10,5,10,3,2,0.5,0.4,0.6,0.6907,0.61,0.7714,0.8,0.6,1.0,0.05,1593.5,0.1451
k5_f10,5,10,5,2,0.7,0.6,0.8,0.7857,0.7714,0.8,0.8,0.6,1.0,0.05,1634.5,0.1489
k10_f0,10,0,0,2,0.85,0.8,0.9,0.9271,0.8875,0.9667,,,,,,
k10_f0,10,0,1,2,0.45,0.4,0.5,0.4833,0.4667,0.5,0.55,0.5,0.6,nan,3376.0,0.4616
k10_f0,10,0,3,2,0.5,0.4,0.6,0.5267,0.42,0.6333,0.6,0.6,0.6,nan,2396.0,0.3267
k10_f0,10,0,5,2,0.45,0.4,0.5,0.481,0.4286,0.5333,0.55,0.5,0.6,nan,2279.0,0.3093
k10_f5,10,5,0,2,0.7,0.5,0.9,0.8317,0.6776,0.9857,,,,,,
k10_f5,10,5,1,2,0.05,0.0,0.1,0.1516,0.0776,0.2256,0.2,0.2,0.2,0.5,3314.5,0.283
k10_f5,10,5,3,2,0.05,0.0,0.1,0.08,0.0,0.16,0.1,0.0,0.2,0.2,1692.0,0.149
k10_f5,10,5,5,2,0.05,0.0,0.1,0.1521,0.1322,0.172,0.1,0.0,0.2,0.2,1693.0,0.1491
k10_f10,10,10,0,2,0.9,0.8,1.0,0.9437,0.8875,1.0,,,,,,
k10_f10,10,10,1,2,0.3,0.3,0.3,0.3783,0.3333,0.4232,0.4,0.3,0.5,0.0,3313.5,0.2249
k10_f10,10,10,3,2,0.3,0.3,0.3,0.34,0.3,0.38,0.4,0.3,0.5,0.0,2726.0,0.1862
k10_f10,10,10,5,2,0.25,0.2,0.3,0.3167,0.3,0.3333,0.4,0.3,0.5,0.0,3277.5,0.2229
