comparison,k,f,stage,metric,delta,lo,hi,p_value,n
filler_minus_nofiller,2,5,1,gold_survival,0.0,0.0,0.0,1.0,2
filler_minus_nofiller,2,5,1,answer_f1,-0.25,-0.5,0.0,0.4987,2
filler_minus_nofiller,2,5,3,gold_survival,0.0,-0.5,0.5,1.0,2
filler_minus_nofiller,2,5,3,answer_f1,-0.08333333333333337,-0.16666666666666674,0.0,0.4987,2
filler_minus_nofiller,2,5,5,gold_survival,0.25,0.0,0.5,0.493,2
filler_minus_nofiller,2,5,5,answer_f1,0.03125,0.0,0.0625,0.4987,2
filler_minus_nofiller,2,10,1,gold_survival,0.0,0.0,0.0,1.0,2
filler_minus_nofiller,2,10,1,answer_f1,-0.19999999999999996,-0.3999999999999999,0.0,0.4987,2
filler_minus_nofiller,2,10,3,gold_survival,0.0,0.0,0.0,1.0,2
filler_minus_nofiller,2,10,3,answer_f1,-0.20208333333333336,-0.40416666666666673,0.0,0.4987,2
filler_minus_nofiller,2,10,5,gold_survival,0.5,0.0,1.0,0.493,2
filler_minus_nofiller,2,10,5,answer_f1,0.33333333333333337,0.0,0.6666666666666667,0.4987,2
filler_minus_nofiller,5,5,1,gold_survival,-0.09999999999999998,-0.19999999999999996,0.0,0.493,2
filler_minus_nofiller,5,5,1,answer_f1,-0.039999999999999925,-0.17142857142857126,0.09142857142857141,0.4987,2
filler_minus_nofiller,5,5,3,gold_survival,-0.09999999999999998,-0.19999999999999996,0.0,0.493,2
filler_minus_nofiller,5,5,3,answer_f1,-0.12571428571428583,-0.13142857142857156,-0.1200000000000001,0.0,2
filler_minus_nofiller,5,5,5,gold_survival,-0.09999999999999998,-0.19999999999999996,0.0,0.493,2
filler_minus_nofiller,5,5,5,answer_f1,-0.16000000000000003,-0.32000000000000006,0.0,0.4987,2
filler_minus_nofiller,5,10,1,gold_survival,-0.09999999999999998,-0.19999999999999996,0.0,0.493,2
filler_minus_nofiller,5,10,1,answer_f1,-0.02571428571428569,-0.08000000000000007,0.028571428571428692,0.4987,2
filler_minus_nofiller,5,10,3,gold_survival,-0.10000000000000003,-0.20000000000000007,0.0,0.493,2
filler_minus_nofiller,5,10,3,answer_f1,-0.18071428571428577,-0.20000000000000007,-0.16142857142857148,0.0,2
filler_minus_nofiller,5,10,5,gold_survival,-0.10000000000000003,-0.20000000000000007,0.0,0.493,2
filler_minus_nofiller,5,10,5,answer_f1,-0.03999999999999998,-0.20000000000000007,0.1200000000000001,0.4987,2
filler_minus_nofiller,10,5,1,gold_survival,-0.35,-0.39999999999999997,-0.3,0.0,2
filler_minus_nofiller,10,5,1,answer_f1,-0.3317032967032967,-0.4223809523809524,-0.24102564102564097,0.0,2
filler_minus_nofiller,10,5,3,gold_survival,-0.5,-0.6,-0.39999999999999997,0.0,2
filler_minus_nofiller,10,5,3,answer_f1,-0.44666666666666666,-0.4733333333333333,-0.42000000000000004,0.0,2
filler_minus_nofiller,10,5,5,gold_survival,-0.44999999999999996,-0.6,-0.3,0.0,2
filler_minus_nofiller,10,5,5,answer_f1,-0.3288412698412698,-0.36133333333333334,-0.2963492063492063,0.0,2
filler_minus_nofiller,10,10,1,gold_survival,-0.15,-0.2,-0.09999999999999998,0.0,2
filler_minus_nofiller,10,10,1,answer_f1,-0.10505952380952377,-0.1333333333333333,-0.07678571428571423,0.0,2
filler_minus_nofiller,10,10,3,gold_survival,-0.19999999999999998,-0.3,-0.09999999999999998,0.0,2
filler_minus_nofiller,10,10,3,answer_f1,-0.18666666666666668,-0.3333333333333333,-0.040000000000000036,0.0,2
filler_minus_nofiller,10,10,5,gold_survival,-0.15,-0.2,-0.09999999999999998,0.0,2
filler_minus_nofiller,10,10,5,answer_f1,-0.16428571428571428,-0.2,-0.12857142857142856,0.0,2
