comparison,condition,f,filler_type,depth,metric,delta,lo,hi,p_value,n
depth_minus_depth0,f0,0,none,1,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,f0,0,none,1,f1,0.0,0.0,0.0,1.0,2
depth_minus_depth0,f0,0,none,3,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,f0,0,none,3,f1,0.0,0.0,0.0,1.0,2
depth_minus_depth0,f0,0,none,5,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,f0,0,none,5,f1,0.0,0.0,0.0,1.0,2
depth_minus_depth0,f3_inert,3,inert,1,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,f3_inert,3,inert,1,f1,0.09291919114451518,-0.016514558887440238,0.2023529411764706,0.5002,2
depth_minus_depth0,f3_inert,3,inert,3,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,f3_inert,3,inert,3,f1,0.1466432448685689,0.09093354856066721,0.2023529411764706,0.0,2
depth_minus_depth0,f3_inert,3,inert,5,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,f3_inert,3,inert,5,f1,0.11727816550348955,0.032203389830508494,0.2023529411764706,0.0,2
depth_minus_depth0,f6_inert,6,inert,1,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,f6_inert,6,inert,1,f1,0.014733134879040731,-0.11375623663578048,0.14322250639386194,0.5002,2
depth_minus_depth0,f6_inert,6,inert,3,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,f6_inert,6,inert,3,f1,0.021026428909991332,-0.08030008335648792,0.12235294117647058,0.5002,2
depth_minus_depth0,f6_inert,6,inert,5,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,f6_inert,6,inert,5,f1,0.029501005181177764,-0.06335093081411505,0.12235294117647058,0.5002,2
depth_minus_depth0,f3_near_miss,3,near_miss,1,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,f3_near_miss,3,near_miss,1,f1,-0.09523809523809525,-0.1904761904761905,0.0,0.5002,2
depth_minus_depth0,f3_near_miss,3,near_miss,3,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,f3_near_miss,3,near_miss,3,f1,-0.09523809523809525,-0.1904761904761905,0.0,0.5002,2
depth_minus_depth0,f3_near_miss,3,near_miss,5,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,f3_near_miss,3,near_miss,5,f1,-0.061904761904761914,-0.12380952380952383,0.0,0.5002,2
depth_minus_depth0,f6_near_miss,6,near_miss,1,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,f6_near_miss,6,near_miss,1,f1,0.007768361581920909,0.0,0.015536723163841817,0.5002,2
depth_minus_depth0,f6_near_miss,6,near_miss,3,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,f6_near_miss,6,near_miss,3,f1,-0.025202652910832714,-0.05040530582166543,0.0,0.5002,2
depth_minus_depth0,f6_near_miss,6,near_miss,5,em,0.0,0.0,0.0,1.0,2
depth_minus_depth0,f6_near_miss,6,near_miss,5,f1,-0.025202652910832714,-0.05040530582166543,0.0,0.5002,2
