condition,f,filler_type,depth,n,em,em_lo,em_hi,f1,f1_lo,f1_hi,answer_survival,gold_overlap,filler_overlap,handoff_chars,compression_ratio
f0,0,none,0,2,0.0,0.0,0.0,0.0675,0.0174,0.1176,,,,,
f0,0,none,1,2,0.0,0.0,0.0,0.0675,0.0174,0.1176,0.0,0.5335,nan,479.0,0.5205
f0,0,none,3,2,0.0,0.0,0.0,0.0675,0.0174,0.1176,0.0,0.5335,nan,479.0,0.5205
f0,0,none,5,2,0.0,0.0,0.0,0.0675,0.0174,0.1176,0.0,0.5127,nan,550.5,0.5914
f3_inert,3,inert,0,2,0.0,0.0,0.0,0.0927,0.0678,0.1176,,,,,
f3_inert,3,inert,1,2,0.0,0.0,0.0,0.1856,0.0513,0.32,0.0,0.6238,0.0673,654.0,0.3613
f3_inert,3,inert,3,2,0.0,0.0,0.0,0.2394,0.1587,0.32,0.0,0.6135,0.0673,605.0,0.3358
f3_inert,3,inert,5,2,0.0,0.0,0.0,0.21,0.1,0.32,0.0,0.5629,0.0673,578.5,0.32
f6_inert,6,inert,0,2,0.0,0.0,0.0,0.1244,0.1176,0.1311,,,,,
f6_inert,6,inert,1,2,0.0,0.0,0.0,0.1391,0.0174,0.2609,0.0,0.5795,0.0306,704.5,0.2614
f6_inert,6,inert,3,2,0.0,0.0,0.0,0.1454,0.0508,0.24,0.0,0.4509,0.0084,428.5,0.1512
f6_inert,6,inert,5,2,0.0,0.0,0.0,0.1539,0.0678,0.24,0.0,0.4509,0.0084,428.5,0.1512
f3_near_miss,3,near_miss,0,2,0.0,0.0,0.0,0.1541,0.1176,0.1905,,,,,
f3_near_miss,3,near_miss,1,2,0.0,0.0,0.0,0.0588,0.0,0.1176,0.0,0.5947,0.504,1087.5,0.5164
f3_near_miss,3,near_miss,3,2,0.0,0.0,0.0,0.0588,0.0,0.1176,0.0,0.5097,0.4982,962.5,0.4526
f3_near_miss,3,near_miss,5,2,0.0,0.0,0.0,0.0922,0.0667,0.1176,0.0,0.5097,0.492,1099.0,0.5214
f6_near_miss,6,near_miss,0,2,0.0,0.0,0.0,0.0339,0.0,0.0678,,,,,
f6_near_miss,6,near_miss,1,2,0.0,0.0,0.0,0.0417,0.0,0.0833,0.0,0.5292,0.2953,976.5,0.35
f6_near_miss,6,near_miss,3,2,0.0,0.0,0.0,0.0087,0.0,0.0174,0.0,0.5103,0.2804,946.5,0.3376
f6_near_miss,6,near_miss,5,2,0.0,0.0,0.0,0.0087,0.0,0.0174,0.0,0.4853,0.2563,1264.0,0.435
