comparison,condition,f,filler_type,stage,metric,delta,lo,hi,p_value,n
filler_minus_nofiller,f3_inert,3,inert,1,answer_survival,0.0,0.0,0.0,1.0,2
filler_minus_nofiller,f3_inert,3,inert,1,answer_f1,0.1181218440553479,0.03389074693422518,0.2023529411764706,0.0,2
filler_minus_nofiller,f3_inert,3,inert,3,answer_survival,0.0,0.0,0.0,1.0,2
filler_minus_nofiller,f3_inert,3,inert,3,answer_f1,0.17184589777940162,0.14133885438233262,0.2023529411764706,0.0,2
filler_minus_nofiller,f3_inert,3,inert,5,answer_survival,0.0,0.0,0.0,1.0,2
filler_minus_nofiller,f3_inert,3,inert,5,answer_f1,0.14248081841432225,0.08260869565217392,0.2023529411764706,0.0,2
filler_minus_nofiller,f6_inert,6,inert,1,answer_survival,0.0,0.0,0.0,1.0,2
filler_minus_nofiller,f6_inert,6,inert,1,answer_f1,0.07161125319693097,0.0,0.14322250639386194,0.4987,2
filler_minus_nofiller,f6_inert,6,inert,3,answer_survival,0.0,0.0,0.0,1.0,2
filler_minus_nofiller,f6_inert,6,inert,3,answer_f1,0.07790454722788157,0.03345615327929255,0.12235294117647058,0.0,2
filler_minus_nofiller,f6_inert,6,inert,5,answer_survival,0.0,0.0,0.0,1.0,2
filler_minus_nofiller,f6_inert,6,inert,5,answer_f1,0.08637912349906801,0.05040530582166543,0.12235294117647058,0.0,2
filler_minus_nofiller,f3_near_miss,3,near_miss,1,answer_survival,0.0,0.0,0.0,1.0,2
filler_minus_nofiller,f3_near_miss,3,near_miss,1,answer_f1,-0.008695652173913044,-0.017391304347826087,0.0,0.4987,2
filler_minus_nofiller,f3_near_miss,3,near_miss,3,answer_survival,0.0,0.0,0.0,1.0,2
filler_minus_nofiller,f3_near_miss,3,near_miss,3,answer_f1,-0.008695652173913044,-0.017391304347826087,0.0,0.4987,2
filler_minus_nofiller,f3_near_miss,3,near_miss,5,answer_survival,0.0,0.0,0.0,1.0,2
filler_minus_nofiller,f3_near_miss,3,near_miss,5,answer_f1,0.02463768115942029,0.0,0.04927536231884058,0.4987,2
filler_minus_nofiller,f6_near_miss,6,near_miss,1,answer_survival,0.0,0.0,0.0,1.0,2
filler_minus_nofiller,f6_near_miss,6,near_miss,1,answer_f1,-0.025852514919011083,-0.11764705882352941,0.06594202898550725,0.4987,2
filler_minus_nofiller,f6_near_miss,6,near_miss,3,answer_survival,0.0,0.0,0.0,1.0,2
filler_minus_nofiller,f6_near_miss,6,near_miss,3,answer_f1,-0.058823529411764705,-0.11764705882352941,0.0,0.4987,2
filler_minus_nofiller,f6_near_miss,6,near_miss,5,answer_survival,0.0,0.0,0.0,1.0,2
filler_minus_nofiller,f6_near_miss,6,near_miss,5,answer_f1,-0.058823529411764705,-0.11764705882352941,0.0,0.4987,2
