condition,f,filler_type,depth,n,em,em_lo,em_hi,f1,f1_lo,f1_hi,answer_recall,gold_overlap,filler_overlap,handoff_chars,compression_ratio
f0,0,none,0,20,0.0,0.0,0.0,0.285,0.185,0.3958,,,,,
f0,0,none,1,20,0.0,0.0,0.0,0.2908,0.1734,0.4227,0.7956,0.6157,nan,774.2,0.7901
f0,0,none,3,20,0.0,0.0,0.0,0.2456,0.1536,0.354,0.7111,0.5641,nan,717.5,0.7245
f0,0,none,5,20,0.0,0.0,0.0,0.2506,0.1572,0.3584,0.6663,0.5046,nan,815.0,0.8363
f3_inert,3,inert,0,20,0.0,0.0,0.0,0.3339,0.219,0.4566,,,,,
f3_inert,3,inert,1,20,0.0,0.0,0.0,0.3333,0.2223,0.4571,0.7907,0.611,0.0803,896.6,0.4851
f3_inert,3,inert,3,20,0.0,0.0,0.0,0.2923,0.1844,0.4163,0.7256,0.5457,0.0397,777.4,0.4183
f3_inert,3,inert,5,20,0.0,0.0,0.0,0.3257,0.2216,0.4422,0.7033,0.5199,0.0377,818.8,0.4554
f6_inert,6,inert,0,20,0.0,0.0,0.0,0.3297,0.2282,0.4438,,,,,
f6_inert,6,inert,1,20,0.0,0.0,0.0,0.4074,0.2809,0.5392,0.7774,0.5831,0.0939,861.8,0.2926
f6_inert,6,inert,3,20,0.0,0.0,0.0,0.3396,0.2167,0.4725,0.7054,0.5052,0.0693,726.1,0.246
f6_inert,6,inert,5,20,0.0,0.0,0.0,0.2915,0.1789,0.4176,0.6376,0.4604,0.0271,702.0,0.2374
f3_near_miss,3,near_miss,0,20,0.0,0.0,0.0,0.286,0.1679,0.4139,,,,,
f3_near_miss,3,near_miss,1,20,0.0,0.0,0.0,0.298,0.196,0.4106,0.7704,0.5813,0.4657,1062.0,0.5506
f3_near_miss,3,near_miss,3,20,0.0,0.0,0.0,0.3127,0.2054,0.428,0.6868,0.4964,0.4016,932.9,0.4789
f3_near_miss,3,near_miss,5,20,0.0,0.0,0.0,0.2397,0.1474,0.3458,0.6684,0.4675,0.3771,878.4,0.4466
f6_near_miss,6,near_miss,0,20,0.0,0.0,0.0,0.2545,0.1669,0.3516,,,,,
f6_near_miss,6,near_miss,1,20,0.0,0.0,0.0,0.2264,0.1438,0.3146,0.7059,0.528,0.4487,1212.5,0.4366
f6_near_miss,6,near_miss,3,20,0.0,0.0,0.0,0.2521,0.1737,0.3354,0.6742,0.4793,0.4172,1154.3,0.4158
f6_near_miss,6,near_miss,5,20,0.0,0.0,0.0,0.2576,0.1803,0.3407,0.66,0.4587,0.4014,1145.3,0.41
