comparison,mode,query_type,depth,metric,delta,lo,hi,p_value,n
depth_minus_direct,conditioned,target,1,em,-0.2,-0.5,0.0,0.2164,10
depth_minus_direct,conditioned,target,1,f1,-0.05333333333333333,-0.32,0.18,0.6756,10
depth_minus_direct,conditioned,target,1,judge_correct,-0.1,-0.3,0.0,0.5988,10
depth_minus_direct,conditioned,target,2,em,0.0,-0.3,0.3,1.0,10
depth_minus_direct,conditioned,target,2,f1,-0.07499999999999998,-0.3,0.07500000000000004,0.5934,10
depth_minus_direct,conditioned,target,2,judge_correct,-0.1,-0.3,0.0,0.5988,10
depth_minus_direct,conditioned,target,3,em,-0.2,-0.5,0.0,0.225,10
depth_minus_direct,conditioned,target,3,f1,-0.20833333333333334,-0.5,0.0,0.0788,10
depth_minus_direct,conditioned,target,3,judge_correct,-0.3,-0.6,0.0,0.0746,10
depth_minus_direct,conditioned,target,4,em,-0.5,-0.8,-0.2,0.0022,10
depth_minus_direct,conditioned,target,4,f1,-0.34500000000000003,-0.6033333333333333,-0.11499999999999999,0.0048,10
depth_minus_direct,conditioned,target,4,judge_correct,-0.4,-0.7,-0.1,0.0156,10
depth_minus_direct,conditioned,target,5,em,-0.4,-0.8,0.0,0.0927,10
depth_minus_direct,conditioned,target,5,f1,-0.21611111111111114,-0.52,0.13999999999999999,0.1982,10
depth_minus_direct,conditioned,target,5,judge_correct,-0.1,-0.3,0.0,0.5988,10
depth_minus_direct,conditioned,target,6,em,-0.4,-0.7,-0.1,0.0188,10
depth_minus_direct,conditioned,target,6,f1,-0.31833333333333336,-0.5783333333333334,-0.07666666666666665,0.0109,10
depth_minus_direct,conditioned,target,6,judge_correct,-0.2,-0.5,0.0,0.225,10
depth_minus_direct,conditioned,target,7,em,-0.5,-0.8,-0.2,0.0022,10
depth_minus_direct,conditioned,target,7,f1,-0.3383333333333334,-0.5900000000000001,-0.11000000000000001,0.0052,10
depth_minus_direct,conditioned,target,7,judge_correct,-0.2,-0.5,0.0,0.225,10
depth_minus_direct,conditioned,target,8,em,-0.5,-0.8,-0.2,0.0022,10
depth_minus_direct,conditioned,target,8,f1,-0.33,-0.5900000000000001,-0.1,0.0077,10
depth_minus_direct,conditioned,target,8,judge_correct,-0.2,-0.5,0.0,0.225,10
depth_minus_direct,conditioned,target,9,em,-0.4,-0.7,-0.1,0.0188,10
depth_minus_direct,conditioned,target,9,f1,-0.31833333333333336,-0.5783333333333334,-0.07666666666666667,0.0109,10
depth_minus_direct,conditioned,target,9,judge_correct,-0.2,-0.5,0.0,0.225,10
depth_minus_direct,conditioned,target,10,em,-0.4,-0.7,-0.1,0.0188,10
depth_minus_direct,conditioned,target,10,f1,-0.3166666666666667,-0.5833333333333334,-0.06666666666666668,0.019,10
depth_minus_direct,conditioned,target,10,judge_correct,-0.3,-0.6,-0.1,0.0701,10
depth_minus_direct,generic,target,1,em,-0.2,-0.5,0.0,0.2347,10
depth_minus_direct,generic,target,1,f1,-0.12,-0.33999999999999997,0.0,0.2263,10
depth_minus_direct,generic,target,1,judge_correct,-0.2,-0.5,0.0,0.2347,10
depth_minus_direct,generic,target,2,em,-0.3,-0.6,0.0,0.076,10
depth_minus_direct,generic,target,2,f1,-0.22000000000000003,-0.5,0.0,0.0757,10
depth_minus_direct,generic,target,2,judge_correct,-0.3,-0.6,0.0,0.076,10
depth_minus_direct,generic,target,3,em,-0.3,-0.6,0.0,0.076,10
depth_minus_direct,generic,target,3,f1,-0.23333333333333334,-0.5,0.0,0.0768,10
depth_minus_direct,generic,target,3,judge_correct,-0.4,-0.7,-0.1,0.0201,10
depth_minus_direct,generic,target,4,em,-0.4,-0.7,-0.1,0.0178,10
depth_minus_direct,generic,target,4,f1,-0.4,-0.7,-0.1,0.0178,10
depth_minus_direct,generic,target,4,judge_correct,-0.5,-0.8,-0.2,0.0024,10
depth_minus_direct,generic,target,5,em,-0.3,-0.6,0.0,0.076,10
depth_minus_direct,generic,target,5,f1,-0.3,-0.6,0.0,0.076,10
depth_minus_direct,generic,target,5,judge_correct,-0.3,-0.6,0.0,0.076,10
depth_minus_direct,generic,target,6,em,-0.3,-0.6,0.0,0.076,10
depth_minus_direct,generic,target,6,f1,-0.22000000000000003,-0.5,0.0,0.077,10
depth_minus_direct,generic,target,6,judge_correct,-0.4,-0.7,-0.1,0.0201,10
depth_minus_direct,generic,target,7,em,-0.3,-0.6,0.0,0.076,10
