mode,query_type,depth,n,handoff_characters_mean,em,em_lo,em_hi,f1,f1_lo,f1_hi,judge_correct,judge_correct_lo,judge_correct_hi
conditioned,heldout,1,20,612.0,0.15,0.0,0.3,0.2308,0.0773,0.4058,0.25,0.05,0.45
conditioned,heldout,2,20,555.4,0.15,0.0,0.3,0.2642,0.1058,0.4392,0.25,0.05,0.45
conditioned,heldout,3,20,705.2,0.2,0.05,0.4,0.2869,0.1119,0.4738,0.25,0.05,0.45
conditioned,heldout,4,20,565.8,0.25,0.05,0.45,0.3036,0.125,0.5,0.3,0.1,0.5
conditioned,heldout,5,20,730.0,0.2,0.05,0.4,0.2411,0.075,0.4286,0.25,0.05,0.45
conditioned,heldout,6,20,712.6,0.15,0.0,0.3,0.25,0.0875,0.425,0.3,0.1,0.5
conditioned,heldout,7,20,976.0,0.1,0.0,0.25,0.2148,0.075,0.3773,0.25,0.05,0.45
conditioned,heldout,8,20,1042.2,0.1,0.0,0.25,0.2148,0.075,0.3773,0.25,0.05,0.45
conditioned,heldout,9,20,1040.4,0.25,0.1,0.45,0.3125,0.125,0.5125,0.3,0.1,0.5
conditioned,heldout,10,20,927.2,0.2,0.05,0.4,0.2875,0.1125,0.475,0.3,0.1,0.5
conditioned,target,1,20,612.0,0.6,0.4,0.8,0.7611,0.6111,0.8911,0.95,0.85,1.0
conditioned,target,2,20,555.4,0.5,0.3,0.7,0.6266,0.4375,0.805,0.75,0.55,0.9
conditioned,target,3,20,705.2,0.5,0.3,0.7,0.6558,0.4732,0.8242,0.75,0.55,0.9
conditioned,target,4,20,565.8,0.45,0.25,0.65,0.5968,0.4085,0.7825,0.7,0.5,0.9
conditioned,target,5,20,730.0,0.55,0.35,0.75,0.6116,0.4132,0.8025,0.7,0.5,0.9
conditioned,target,6,20,712.6,0.55,0.35,0.75,0.6303,0.44,0.8136,0.7,0.5,0.9
conditioned,target,7,20,976.0,0.55,0.35,0.75,0.6527,0.4649,0.8326,0.7,0.5,0.9
conditioned,target,8,20,1042.2,0.5,0.3,0.7,0.5866,0.3882,0.7848,0.65,0.45,0.85
conditioned,target,9,20,1040.4,0.5,0.3,0.7,0.5824,0.3833,0.7791,0.7,0.5,0.9
conditioned,target,10,20,927.2,0.5,0.3,0.7,0.5866,0.3882,0.7848,0.65,0.45,0.85
direct,heldout,0,20,7954.1,0.8,0.6,0.95,0.8333,0.65,0.9833,0.9,0.75,1.0
direct,target,0,20,7954.1,0.65,0.45,0.85,0.8278,0.6844,0.9497,0.9,0.75,1.0
generic,heldout,1,20,3783.6,0.4,0.2,0.6,0.4,0.2,0.6,0.4,0.2,0.6
generic,heldout,2,20,3722.3,0.4,0.2,0.6,0.4,0.2,0.6,0.45,0.25,0.65
generic,heldout,3,20,3714.2,0.4,0.2,0.6,0.4,0.2,0.6,0.4,0.2,0.6
generic,heldout,4,20,3767.0,0.35,0.15,0.55,0.3583,0.1583,0.5667,0.35,0.15,0.55
generic,heldout,5,20,3970.1,0.4,0.2,0.6,0.425,0.225,0.65,0.45,0.25,0.65
generic,heldout,6,20,4407.8,0.35,0.15,0.55,0.35,0.15,0.55,0.5,0.3,0.7
generic,heldout,7,20,4374.6,0.4,0.2,0.6,0.4,0.2,0.6,0.5,0.3,0.7
generic,heldout,8,20,4528.2,0.35,0.15,0.55,0.375,0.175,0.6,0.5,0.3,0.7
generic,heldout,9,20,4583.8,0.4,0.2,0.6,0.4,0.2,0.6,0.55,0.35,0.75
generic,heldout,10,20,4491.2,0.45,0.25,0.65,0.45,0.25,0.65,0.5,0.3,0.7
generic,target,1,20,3783.6,0.6,0.4,0.8,0.7025,0.5125,0.8775,0.8,0.6,0.95
generic,target,2,20,3722.3,0.6,0.4,0.8,0.701,0.5125,0.876,0.8,0.6,0.95
generic,target,3,20,3714.2,0.55,0.35,0.75,0.6825,0.4925,0.8575,0.8,0.6,0.95
generic,target,4,20,3767.0,0.55,0.35,0.75,0.651,0.45,0.8385,0.75,0.55,0.9
generic,target,5,20,3970.1,0.55,0.35,0.75,0.651,0.45,0.8385,0.75,0.55,0.9
generic,target,6,20,4407.8,0.55,0.35,0.75,0.691,0.5019,0.866,0.8,0.6,0.95
generic,target,7,20,4374.6,0.6,0.4,0.8,0.7121,0.525,0.8848,0.8,0.6,0.95
generic,target,8,20,4528.2,0.5,0.3,0.7,0.661,0.4725,0.8375,0.8,0.6,0.95
generic,target,9,20,4583.8,0.5,0.3,0.7,0.661,0.4725,0.8375,0.8,0.6,0.95
generic,target,10,20,4491.2,0.55,0.35,0.75,0.6785,0.49,0.8535,0.75,0.55,0.9
