comparison,mode,query_type,depth,metric,delta,lo,hi,p_value,n
depth_minus_direct,conditioned,target,1,em,-0.3,-0.6,0.0,0.0719,10
depth_minus_direct,conditioned,target,1,f1,-0.11833333333333336,-0.24666666666666667,0.0,0.0738,10
depth_minus_direct,conditioned,target,1,judge_correct,0.0,0.0,0.0,1.0,10
depth_minus_direct,conditioned,target,2,em,-0.4,-0.7,-0.1,0.0188,10
depth_minus_direct,conditioned,target,2,f1,-0.325,-0.625,-0.1,0.0198,10
depth_minus_direct,conditioned,target,2,judge_correct,-0.3,-0.6,-0.1,0.07,10
depth_minus_direct,conditioned,target,3,em,-0.4,-0.7,-0.1,0.0188,10
depth_minus_direct,conditioned,target,3,f1,-0.28500000000000003,-0.55,-0.06,0.0245,10
depth_minus_direct,conditioned,target,3,judge_correct,-0.2,-0.5,0.0,0.2272,10
depth_minus_direct,conditioned,target,4,em,-0.2,-0.5,0.0,0.2206,10
depth_minus_direct,conditioned,target,4,f1,-0.16,-0.38,0.0,0.1902,10
depth_minus_direct,conditioned,target,4,judge_correct,-0.1,-0.3,0.0,0.5988,10
depth_minus_direct,conditioned,target,5,em,-0.4,-0.7,-0.1,0.0188,10
depth_minus_direct,conditioned,target,5,f1,-0.26833333333333337,-0.495,-0.07500000000000001,0.0118,10
depth_minus_direct,conditioned,target,5,judge_correct,-0.2,-0.5,0.0,0.2222,10
depth_minus_direct,conditioned,target,6,em,-0.2,-0.6,0.2,0.4159,10
depth_minus_direct,conditioned,target,6,f1,-0.24833333333333338,-0.5283333333333333,-0.008333333333333349,0.0623,10
depth_minus_direct,conditioned,target,6,judge_correct,-0.2,-0.5,0.0,0.2272,10
depth_minus_direct,conditioned,target,7,em,-0.3,-0.6,-0.1,0.07,10
depth_minus_direct,conditioned,target,7,f1,-0.20166666666666666,-0.42666666666666664,-0.03333333333333334,0.0392,10
depth_minus_direct,conditioned,target,7,judge_correct,-0.1,-0.3,0.0,0.5988,10
depth_minus_direct,conditioned,target,8,em,-0.3,-0.6,-0.1,0.07,10
depth_minus_direct,conditioned,target,8,f1,-0.26833333333333337,-0.5285416666666648,-0.06,0.029,10
depth_minus_direct,conditioned,target,8,judge_correct,-0.2,-0.5,0.0,0.2272,10
depth_minus_direct,conditioned,target,9,em,-0.3,-0.6,-0.1,0.07,10
depth_minus_direct,conditioned,target,9,f1,-0.20833333333333334,-0.4333333333333334,-0.03333333333333334,0.0388,10
depth_minus_direct,conditioned,target,9,judge_correct,-0.2,-0.5,0.0,0.2206,10
depth_minus_direct,conditioned,target,10,em,-0.3,-0.6,-0.1,0.07,10
depth_minus_direct,conditioned,target,10,f1,-0.26833333333333337,-0.5285416666666648,-0.06,0.029,10
depth_minus_direct,conditioned,target,10,judge_correct,-0.2,-0.5,0.0,0.2272,10
depth_minus_direct,generic,target,1,em,-0.3,-0.6,-0.1,0.07,10
depth_minus_direct,generic,target,1,f1,-0.21428571428571427,-0.5,-0.01428571428571429,0.0729,10
depth_minus_direct,generic,target,1,judge_correct,-0.1,-0.3,0.0,0.5988,10
depth_minus_direct,generic,target,2,em,-0.3,-0.6,-0.1,0.07,10
depth_minus_direct,generic,target,2,f1,-0.23333333333333334,-0.5,-0.03333333333333334,0.0726,10
depth_minus_direct,generic,target,2,judge_correct,-0.1,-0.3,0.0,0.5988,10
depth_minus_direct,generic,target,3,em,-0.4,-0.7,-0.1,0.0186,10
depth_minus_direct,generic,target,3,f1,-0.32261904761904764,-0.6142857142857143,-0.04523809523809526,0.0138,10
depth_minus_direct,generic,target,3,judge_correct,-0.2,-0.5,0.0,0.2286,10
depth_minus_direct,generic,target,4,em,-0.3,-0.6,0.0,0.0818,10
depth_minus_direct,generic,target,4,f1,-0.30833333333333335,-0.6083333333333334,-0.016666666666666673,0.0236,10
depth_minus_direct,generic,target,4,judge_correct,-0.2,-0.5,0.0,0.2286,10
depth_minus_direct,generic,target,5,em,-0.3,-0.6,0.0,0.0818,10
depth_minus_direct,generic,target,5,f1,-0.30833333333333335,-0.6083333333333334,-0.016666666666666673,0.0236,10
depth_minus_direct,generic,target,5,judge_correct,-0.2,-0.5,0.0,0.2286,10
depth_minus_direct,generic,target,6,em,-0.3,-0.6,0.0,0.0818,10
depth_minus_direct,generic,target,6,f1,-0.30833333333333335,-0.6083333333333334,-0.016666666666666673,0.0236,10
depth_minus_direct,generic,target,6,judge_correct,-0.2,-0.5,0.0,0.2286,10
depth_minus_direct,generic,target,7,em,-0.3,-0.6,0.0,0.0818,10
depth_minus_direct,generic,target,7,f1,-0.30833333333333335,-0.6083333333333334,-0.016666666666666673,0.0236,10
depth_minus_direct,generic,target,7,judge_correct,-0.2,-0.5,0.0,0.2286,10
depth_minus_direct,generic,target,8,em,-0.3,-0.6,0.0,0.0818,10
depth_minus_direct,generic,target,8,f1,-0.30833333333333335,-0.6083333333333334,-0.016666666666666673,0.0236,10
depth_minus_direct,generic,target,8,judge_correct,-0.2,-0.5,0.0,0.2286,10
depth_minus_direct,generic,target,9,em,-0.3,-0.6,0.0,0.0818,10
depth_minus_direct,generic,target,9,f1,-0.30833333333333335,-0.6083333333333334,-0.016666666666666673,0.0236,10
depth_minus_direct,generic,target,9,judge_correct,-0.2,-0.5,0.0,0.2286,10
depth_minus_direct,generic,target,10,em,-0.3,-0.6,0.0,0.0818,10
depth_minus_direct,generic,target,10,f1,-0.30833333333333335,-0.6083333333333334,-0.016666666666666673,0.0236,10
depth_minus_direct,generic,target,10,judge_correct,-0.2,-0.5,0.0,0.2286,10
conditioned_minus_generic,conditioned_minus_generic,target,1,em,0.0,-0.3,0.3,1.0,10
conditioned_minus_generic,conditioned_minus_generic,target,1,f1,0.09595238095238094,-0.13714285714285712,0.36666666666666664,0.4618,10
conditioned_minus_generic,conditioned_minus_generic,target,1,judge_correct,0.1,0.0,0.3,0.6158,10
conditioned_minus_generic,conditioned_minus_generic,target,2,em,-0.1,-0.3,0.0,0.6125,10
conditioned_minus_generic,conditioned_minus_generic,target,2,f1,-0.09166666666666667,-0.2333333333333334,0.0,0.2243,10
conditioned_minus_generic,conditioned_minus_generic,target,2,judge_correct,-0.2,-0.5,0.0,0.2324,10
conditioned_minus_generic,conditioned_minus_generic,target,3,em,0.0,-0.3,0.3,1.0,10
conditioned_minus_generic,conditioned_minus_generic,target,3,f1,0.03761904761904762,-0.15380952380952378,0.2833333333333333,0.7375,10
conditioned_minus_generic,conditioned_minus_generic,target,3,judge_correct,0.0,-0.3,0.3,1.0,10
conditioned_minus_generic,conditioned_minus_generic,target,4,em,0.1,-0.2,0.4,0.7619,10
conditioned_minus_generic,conditioned_minus_generic,target,4,f1,0.14833333333333334,-0.12,0.44000000000000006,0.3523,10
conditioned_minus_generic,conditioned_minus_generic,target,4,judge_correct,0.1,0.0,0.3,0.6148,10
conditioned_minus_generic,conditioned_minus_generic,target,5,em,-0.1,-0.4,0.2,0.765,10
conditioned_minus_generic,conditioned_minus_generic,target,5,f1,0.039999999999999994,-0.2533333333333333,0.3333333333333333,0.7882,10
conditioned_minus_generic,conditioned_minus_generic,target,5,judge_correct,0.0,-0.3,0.3,1.0,10
conditioned_minus_generic,conditioned_minus_generic,target,6,em,0.1,-0.2,0.4,0.7619,10
conditioned_minus_generic,conditioned_minus_generic,target,6,f1,0.06,-0.16,0.3,0.6776,10
conditioned_minus_generic,conditioned_minus_generic,target,6,judge_correct,0.0,-0.3,0.3,1.0,10
conditioned_minus_generic,conditioned_minus_generic,target,7,em,0.0,-0.3,0.3,1.0,10
