mode,query_type,depth,n,handoff_characters_mean,em,em_lo,em_hi,f1,f1_lo,f1_hi,judge_correct,judge_correct_lo,judge_correct_hi
conditioned,heldout,1,10,506.5,0.3,0.0,0.6,0.35,0.1,0.65,0.4,0.1,0.7
conditioned,heldout,2,10,507.6,0.2,0.0,0.5,0.25,0.05,0.5,0.3,0.1,0.6
conditioned,heldout,3,10,535.8,0.2,0.0,0.5,0.25,0.05,0.5,0.3,0.1,0.6
conditioned,heldout,4,10,485.4,0.3,0.0,0.6,0.4167,0.15,0.7,0.4,0.1,0.7
conditioned,heldout,5,10,468.6,0.4,0.1,0.7,0.45,0.15,0.75,0.5,0.2,0.8
conditioned,heldout,6,10,426.1,0.4,0.1,0.7,0.45,0.15,0.75,0.5,0.2,0.8
conditioned,heldout,7,10,407.9,0.2,0.0,0.5,0.25,0.0,0.5,0.3,0.0,0.6
conditioned,heldout,8,10,404.0,0.3,0.0,0.6,0.4167,0.15,0.7,0.4,0.1,0.7
conditioned,heldout,9,10,395.6,0.2,0.0,0.5,0.3167,0.0667,0.5833,0.3,0.0,0.6
conditioned,heldout,10,10,425.1,0.3,0.0,0.6,0.4167,0.15,0.7,0.4,0.1,0.7
conditioned,target,1,10,506.5,0.5,0.2,0.8,0.8367,0.7083,0.9467,1.0,1.0,1.0
conditioned,target,2,10,507.6,0.4,0.1,0.7,0.63,0.35,0.88,0.7,0.4,1.0
conditioned,target,3,10,535.8,0.4,0.1,0.7,0.67,0.42,0.885,0.8,0.5,1.0
conditioned,target,4,10,485.4,0.6,0.3,0.9,0.795,0.575,0.975,0.9,0.7,1.0
conditioned,target,5,10,468.6,0.4,0.1,0.7,0.6867,0.4733,0.8733,0.8,0.5,1.0
conditioned,target,6,10,426.1,0.6,0.3,0.9,0.7067,0.44,0.9333,0.8,0.5,1.0
conditioned,target,7,10,407.9,0.5,0.2,0.8,0.7533,0.54,0.9267,0.9,0.7,1.0
conditioned,target,8,10,404.0,0.5,0.2,0.8,0.6867,0.4267,0.9067,0.8,0.5,1.0
conditioned,target,9,10,395.6,0.5,0.2,0.8,0.7467,0.5333,0.9267,0.8,0.5,1.0
conditioned,target,10,10,425.1,0.5,0.2,0.8,0.6867,0.4267,0.9067,0.8,0.5,1.0
direct,heldout,0,10,809.7,0.9,0.7,1.0,0.95,0.85,1.0,1.0,1.0,1.0
direct,target,0,10,809.7,0.8,0.5,1.0,0.955,0.895,1.0,1.0,1.0,1.0
generic,heldout,1,10,792.0,0.9,0.7,1.0,0.95,0.85,1.0,1.0,1.0,1.0
generic,heldout,2,10,995.2,0.9,0.7,1.0,0.95,0.85,1.0,1.0,1.0,1.0
generic,heldout,3,10,867.2,0.9,0.7,1.0,0.95,0.85,1.0,1.0,1.0,1.0
generic,heldout,4,10,785.6,0.8,0.5,1.0,0.85,0.6,1.0,0.9,0.7,1.0
generic,heldout,5,10,992.5,0.9,0.7,1.0,0.95,0.85,1.0,1.0,1.0,1.0
generic,heldout,6,10,1046.4,0.8,0.5,1.0,0.85,0.6,1.0,0.9,0.7,1.0
generic,heldout,7,10,1018.6,0.8,0.5,1.0,0.85,0.6,1.0,0.9,0.7,1.0
generic,heldout,8,10,1011.9,0.8,0.5,1.0,0.85,0.6,1.0,0.9,0.7,1.0
generic,heldout,9,10,1014.4,0.9,0.7,1.0,0.95,0.85,1.0,1.0,1.0,1.0
generic,heldout,10,10,1125.1,0.8,0.5,1.0,0.85,0.6,1.0,0.9,0.7,1.0
generic,target,1,10,792.0,0.5,0.2,0.8,0.7407,0.4799,0.95,0.9,0.7,1.0
generic,target,2,10,995.2,0.5,0.2,0.8,0.7217,0.4667,0.9333,0.9,0.7,1.0
generic,target,3,10,867.2,0.4,0.1,0.7,0.6324,0.3524,0.8714,0.8,0.5,1.0
generic,target,4,10,785.6,0.5,0.2,0.8,0.6467,0.3667,0.8933,0.8,0.5,1.0
generic,target,5,10,992.5,0.5,0.2,0.8,0.6467,0.3667,0.8933,0.8,0.5,1.0
generic,target,6,10,1046.4,0.5,0.2,0.8,0.6467,0.3667,0.8933,0.8,0.5,1.0
generic,target,7,10,1018.6,0.5,0.2,0.8,0.6467,0.3667,0.8933,0.8,0.5,1.0
generic,target,8,10,1011.9,0.5,0.2,0.8,0.6467,0.3667,0.8933,0.8,0.5,1.0
generic,target,9,10,1014.4,0.5,0.2,0.8,0.6467,0.3667,0.8933,0.8,0.5,1.0
generic,target,10,10,1125.1,0.5,0.2,0.8,0.6467,0.3667,0.8933,0.8,0.5,1.0
