comparison,mode,query_type,depth,metric,delta,lo,hi,p_value,n
depth_minus_direct,conditioned,target,1,em,-0.1,-0.3,0.0,0.6023,10
depth_minus_direct,conditioned,target,1,f1,-0.028333333333333332,-0.06833333333333333,0.0,0.2242,10
depth_minus_direct,conditioned,target,1,judge_correct,-0.1,-0.3,0.0,0.6135,10
depth_minus_direct,conditioned,target,2,em,-0.1,-0.3,0.0,0.6023,10
depth_minus_direct,conditioned,target,2,f1,-0.028333333333333332,-0.06833333333333333,0.0,0.2242,10
depth_minus_direct,conditioned,target,2,judge_correct,-0.1,-0.3,0.0,0.6135,10
depth_minus_direct,conditioned,target,3,em,-0.1,-0.3,0.0,0.6023,10
depth_minus_direct,conditioned,target,3,f1,-0.028333333333333332,-0.06833333333333333,0.0,0.2242,10
depth_minus_direct,conditioned,target,3,judge_correct,-0.1,-0.3,0.0,0.6135,10
depth_minus_direct,conditioned,target,4,em,-0.1,-0.3,0.0,0.6023,10
depth_minus_direct,conditioned,target,4,f1,-0.019999999999999997,-0.059999999999999984,0.0,0.6023,10
depth_minus_direct,conditioned,target,4,judge_correct,-0.1,-0.3,0.0,0.6135,10
depth_minus_direct,conditioned,target,5,em,-0.2,-0.5,0.0,0.2239,10
depth_minus_direct,conditioned,target,5,f1,-0.07999999999999999,-0.2,0.0,0.2163,10
depth_minus_direct,conditioned,target,5,judge_correct,-0.2,-0.5,0.0,0.2242,10
depth_minus_direct,conditioned,target,6,em,-0.2,-0.5,0.0,0.2239,10
depth_minus_direct,conditioned,target,6,f1,-0.08833333333333333,-0.21999999999999997,0.0,0.117,10
depth_minus_direct,conditioned,target,6,judge_correct,-0.1,-0.3,0.0,0.6005,10
depth_minus_direct,conditioned,target,7,em,-0.2,-0.5,0.0,0.2239,10
depth_minus_direct,conditioned,target,7,f1,-0.08833333333333333,-0.21999999999999997,0.0,0.117,10
depth_minus_direct,conditioned,target,7,judge_correct,-0.1,-0.3,0.0,0.6005,10
depth_minus_direct,conditioned,target,8,em,-0.2,-0.5,0.0,0.2239,10
depth_minus_direct,conditioned,target,8,f1,-0.08833333333333333,-0.21999999999999997,0.0,0.117,10
depth_minus_direct,conditioned,target,8,judge_correct,-0.2,-0.5,0.0,0.2242,10
depth_minus_direct,conditioned,target,9,em,-0.2,-0.5,0.0,0.2239,10
depth_minus_direct,conditioned,target,9,f1,-0.07999999999999999,-0.2,0.0,0.2163,10
depth_minus_direct,conditioned,target,9,judge_correct,-0.2,-0.5,0.0,0.2242,10
depth_minus_direct,conditioned,target,10,em,-0.2,-0.5,0.0,0.2239,10
depth_minus_direct,conditioned,target,10,f1,-0.07999999999999999,-0.2,0.0,0.2163,10
depth_minus_direct,conditioned,target,10,judge_correct,-0.1,-0.3,0.0,0.6005,10
depth_minus_direct,generic,target,1,em,-0.4,-0.7,-0.1,0.0182,10
depth_minus_direct,generic,target,1,f1,-0.32,-0.62,-0.07999999999999999,0.0213,10
depth_minus_direct,generic,target,1,judge_correct,-0.3,-0.6,0.0,0.0754,10
depth_minus_direct,generic,target,2,em,-0.5,-0.8,-0.2,0.002,10
depth_minus_direct,generic,target,2,f1,-0.42000000000000004,-0.7,-0.16499999999999998,0.0022,10
depth_minus_direct,generic,target,2,judge_correct,-0.4,-0.7,-0.1,0.0176,10
depth_minus_direct,generic,target,3,em,-0.4,-0.7,-0.1,0.0182,10
depth_minus_direct,generic,target,3,f1,-0.395,-0.69,-0.12,0.0049,10
depth_minus_direct,generic,target,3,judge_correct,-0.4,-0.7,-0.1,0.0176,10
depth_minus_direct,generic,target,4,em,-0.3,-0.6,0.0,0.0754,10
depth_minus_direct,generic,target,4,f1,-0.375,-0.675,-0.1,0.0141,10
depth_minus_direct,generic,target,4,judge_correct,-0.4,-0.7,-0.1,0.0176,10
depth_minus_direct,generic,target,5,em,-0.3,-0.6,0.0,0.0754,10
depth_minus_direct,generic,target,5,f1,-0.375,-0.675,-0.1,0.0141,10
depth_minus_direct,generic,target,5,judge_correct,-0.4,-0.7,-0.1,0.0176,10
depth_minus_direct,generic,target,6,em,-0.4,-0.7,-0.1,0.0182,10
depth_minus_direct,generic,target,6,f1,-0.395,-0.69,-0.12,0.0049,10
depth_minus_direct,generic,target,6,judge_correct,-0.4,-0.7,-0.1,0.0176,10
depth_minus_direct,generic,target,7,em,-0.4,-0.7,-0.1,0.0182,10
depth_minus_direct,generic,target,7,f1,-0.395,-0.69,-0.12,0.0049,10
depth_minus_direct,generic,target,7,judge_correct,-0.4,-0.7,-0.1,0.0176,10
depth_minus_direct,generic,target,8,em,-0.3,-0.6,0.0,0.0754,10
depth_minus_direct,generic,target,8,f1,-0.375,-0.675,-0.1,0.0141,10
depth_minus_direct,generic,target,8,judge_correct,-0.4,-0.7,-0.1,0.0176,10
depth_minus_direct,generic,target,9,em,-0.4,-0.7,-0.1,0.0182,10
depth_minus_direct,generic,target,9,f1,-0.475,-0.775,-0.2,0.0016,10
depth_minus_direct,generic,target,9,judge_correct,-0.4,-0.7,-0.1,0.0176,10
depth_minus_direct,generic,target,10,em,-0.4,-0.7,-0.1,0.0182,10
depth_minus_direct,generic,target,10,f1,-0.395,-0.69,-0.12,0.0049,10
depth_minus_direct,generic,target,10,judge_correct,-0.4,-0.7,-0.1,0.0176,10
conditioned_minus_generic,conditioned_minus_generic,target,1,em,0.3,0.0,0.6,0.0723,10
conditioned_minus_generic,conditioned_minus_generic,target,1,f1,0.29166666666666663,0.0,0.6,0.072,10
conditioned_minus_generic,conditioned_minus_generic,target,1,judge_correct,0.2,-0.2,0.6,0.4161,10
conditioned_minus_generic,conditioned_minus_generic,target,2,em,0.4,0.1,0.7,0.0196,10
conditioned_minus_generic,conditioned_minus_generic,target,2,f1,0.39166666666666666,0.125,0.6666666666666666,0.0031,10
conditioned_minus_generic,conditioned_minus_generic,target,2,judge_correct,0.3,-0.1,0.7,0.2095,10
conditioned_minus_generic,conditioned_minus_generic,target,3,em,0.3,0.0,0.6,0.0723,10
conditioned_minus_generic,conditioned_minus_generic,target,3,f1,0.36666666666666664,0.1,0.6666666666666666,0.0122,10
conditioned_minus_generic,conditioned_minus_generic,target,3,judge_correct,0.3,-0.1,0.7,0.2095,10
conditioned_minus_generic,conditioned_minus_generic,target,4,em,0.2,-0.2,0.6,0.4196,10
conditioned_minus_generic,conditioned_minus_generic,target,4,f1,0.355,0.06000000000000001,0.655,0.0157,10
conditioned_minus_generic,conditioned_minus_generic,target,4,judge_correct,0.3,-0.1,0.7,0.2095,10
conditioned_minus_generic,conditioned_minus_generic,target,5,em,0.1,-0.3,0.5,0.8184,10
conditioned_minus_generic,conditioned_minus_generic,target,5,f1,0.29500000000000004,-0.039999999999999994,0.635,0.0925,10
conditioned_minus_generic,conditioned_minus_generic,target,5,judge_correct,0.2,-0.3,0.6,0.5211,10
conditioned_minus_generic,conditioned_minus_generic,target,6,em,0.2,-0.2,0.6,0.417,10
conditioned_minus_generic,conditioned_minus_generic,target,6,f1,0.30666666666666664,-0.019999999999999997,0.6333333333333333,0.0626,10
conditioned_minus_generic,conditioned_minus_generic,target,6,judge_correct,0.3,-0.1,0.7,0.2057,10
conditioned_minus_generic,conditioned_minus_generic,target,7,em,0.2,-0.2,0.6,0.417,10
conditioned_minus_generic,conditioned_minus_generic,target,7,f1,0.30666666666666664,-0.019999999999999997,0.6333333333333333,0.0626,10
conditioned_minus_generic,conditioned_minus_generic,target,7,judge_correct,0.3,-0.1,0.7,0.2057,10
conditioned_minus_generic,conditioned_minus_generic,target,8,em,0.1,-0.3,0.5,0.8184,10
conditioned_minus_generic,conditioned_minus_generic,target,8,f1,0.2866666666666667,-0.039999999999999994,0.6266666666666667,0.0936,10
conditioned_minus_generic,conditioned_minus_generic,target,8,judge_correct,0.2,-0.3,0.6,0.5211,10
conditioned_minus_generic,conditioned_minus_generic,target,9,em,0.2,-0.2,0.6,0.417,10
conditioned_minus_generic,conditioned_minus_generic,target,9,f1,0.395,0.05499999999999999,0.725,0.0207,10
conditioned_minus_generic,conditioned_minus_generic,target,9,judge_correct,0.2,-0.3,0.6,0.527,10
conditioned_minus_generic,conditioned_minus_generic,target,10,em,0.2,-0.2,0.6,0.417,10
conditioned_minus_generic,conditioned_minus_generic,target,10,f1,0.315,-0.019999999999999997,0.65,0.0623,10
conditioned_minus_generic,conditioned_minus_generic,target,10,judge_correct,0.3,-0.1,0.7,0.2057,10
depth_minus_direct,conditioned,heldout,1,em,-0.3,-0.7,0.1,0.214,10
depth_minus_direct,conditioned,heldout,1,f1,-0.25,-0.6,0.1,0.2432,10
depth_minus_direct,conditioned,heldout,1,judge_correct,-0.2,-0.6,0.2,0.4359,10
depth_minus_direct,conditioned,heldout,2,em,-0.3,-0.7,0.1,0.214,10
depth_minus_direct,conditioned,heldout,2,f1,-0.21000000000000002,-0.55,0.15,0.2486,10
depth_minus_direct,conditioned,heldout,2,judge_correct,-0.2,-0.6,0.2,0.4359,10
depth_minus_direct,conditioned,heldout,3,em,-0.3,-0.7,0.1,0.214,10
depth_minus_direct,conditioned,heldout,3,f1,-0.2,-0.55,0.15,0.324,10
depth_minus_direct,conditioned,heldout,3,judge_correct,-0.2,-0.6,0.2,0.4359,10
depth_minus_direct,conditioned,heldout,4,em,-0.3,-0.7,0.1,0.214,10
depth_minus_direct,conditioned,heldout,4,f1,-0.2,-0.55,0.15,0.324,10
depth_minus_direct,conditioned,heldout,4,judge_correct,-0.2,-0.6,0.2,0.4359,10
depth_minus_direct,conditioned,heldout,5,em,-0.4,-0.7,-0.1,0.0166,10
depth_minus_direct,conditioned,heldout,5,f1,-0.27142857142857146,-0.55,-0.02142857142857143,0.0463,10
depth_minus_direct,conditioned,heldout,5,judge_correct,-0.2,-0.6,0.2,0.4359,10
depth_minus_direct,conditioned,heldout,6,em,-0.3,-0.7,0.1,0.214,10
depth_minus_direct,conditioned,heldout,6,f1,-0.2,-0.55,0.15,0.324,10
depth_minus_direct,conditioned,heldout,6,judge_correct,-0.2,-0.6,0.2,0.4359,10
depth_minus_direct,conditioned,heldout,7,em,-0.5,-0.9,0.0,0.0322,10
depth_minus_direct,conditioned,heldout,7,f1,-0.38,-0.72,0.020499999999992743,0.0491,10
depth_minus_direct,conditioned,heldout,7,judge_correct,-0.3,-0.7,0.1,0.2171,10
depth_minus_direct,conditioned,heldout,8,em,-0.4,-0.8,0.0,0.0913,10
depth_minus_direct,conditioned,heldout,8,f1,-0.35,-0.7,0.05,0.1079,10
depth_minus_direct,conditioned,heldout,8,judge_correct,-0.3,-0.7,0.1,0.2171,10
depth_minus_direct,conditioned,heldout,9,em,-0.5,-0.8,-0.2,0.0021,10
depth_minus_direct,conditioned,heldout,9,f1,-0.45,-0.75,-0.15,0.0022,10
depth_minus_direct,conditioned,heldout,9,judge_correct,-0.4,-0.7,-0.1,0.0186,10
depth_minus_direct,conditioned,heldout,10,em,-0.5,-0.8,-0.2,0.0021,10
depth_minus_direct,conditioned,heldout,10,f1,-0.41666666666666663,-0.7170833333333296,-0.09999999999999999,0.0102,10
depth_minus_direct,conditioned,heldout,10,judge_correct,-0.3,-0.7,0.1,0.2171,10
