mode,query_type,depth,n,handoff_characters_mean,em,em_lo,em_hi,f1,f1_lo,f1_hi,judge_correct,judge_correct_lo,judge_correct_hi
conditioned,heldout,1,10,2673.9,0.6,0.3,0.9,0.65,0.35,0.9,0.7,0.4,1.0
conditioned,heldout,2,10,3103.8,0.6,0.3,0.9,0.69,0.43,0.94,0.7,0.4,1.0
conditioned,heldout,3,10,3443.3,0.6,0.3,0.9,0.7,0.45,0.95,0.7,0.4,1.0
conditioned,heldout,4,10,3697.8,0.6,0.3,0.9,0.7,0.45,0.95,0.7,0.4,1.0
conditioned,heldout,5,10,3873.0,0.5,0.2,0.8,0.6286,0.3786,0.8786,0.7,0.4,1.0
conditioned,heldout,6,10,3500.4,0.6,0.3,0.9,0.7,0.45,0.95,0.7,0.4,1.0
conditioned,heldout,7,10,3711.8,0.4,0.1,0.7,0.52,0.26,0.78,0.6,0.3,0.9
conditioned,heldout,8,10,3529.6,0.5,0.2,0.8,0.55,0.25,0.85,0.6,0.3,0.9
conditioned,heldout,9,10,3687.4,0.4,0.1,0.7,0.45,0.15,0.75,0.5,0.2,0.8
conditioned,heldout,10,10,3781.5,0.4,0.1,0.7,0.4833,0.2,0.7667,0.6,0.3,0.9
conditioned,target,1,10,2673.9,0.7,0.4,1.0,0.8467,0.6333,1.0,0.9,0.7,1.0
conditioned,target,2,10,3103.8,0.7,0.4,1.0,0.8467,0.6333,1.0,0.9,0.7,1.0
conditioned,target,3,10,3443.3,0.7,0.4,1.0,0.8467,0.6333,1.0,0.9,0.7,1.0
conditioned,target,4,10,3697.8,0.7,0.4,1.0,0.855,0.65,1.0,0.9,0.7,1.0
conditioned,target,5,10,3873.0,0.6,0.3,0.9,0.795,0.58,0.975,0.8,0.5,1.0
conditioned,target,6,10,3500.4,0.6,0.3,0.9,0.7867,0.5667,0.9667,0.9,0.7,1.0
conditioned,target,7,10,3711.8,0.6,0.3,0.9,0.7867,0.5667,0.9667,0.9,0.7,1.0
conditioned,target,8,10,3529.6,0.6,0.3,0.9,0.7867,0.5667,0.9667,0.8,0.5,1.0
conditioned,target,9,10,3687.4,0.6,0.3,0.9,0.795,0.58,0.975,0.8,0.5,1.0
conditioned,target,10,10,3781.5,0.6,0.3,0.9,0.795,0.58,0.975,0.9,0.7,1.0
direct,heldout,0,10,8088.8,0.9,0.7,1.0,0.9,0.7,1.0,0.9,0.7,1.0
direct,target,0,10,8088.8,0.8,0.5,1.0,0.875,0.675,1.0,1.0,1.0,1.0
generic,heldout,1,10,3945.2,0.5,0.2,0.8,0.5,0.2,0.8,0.6,0.3,0.9
generic,heldout,2,10,4013.0,0.4,0.1,0.7,0.4,0.1,0.7,0.5,0.2,0.8
generic,heldout,3,10,4111.3,0.5,0.2,0.8,0.5,0.2,0.8,0.6,0.3,0.9
generic,heldout,4,10,4144.7,0.4,0.1,0.7,0.4,0.1,0.7,0.5,0.2,0.8
generic,heldout,5,10,3946.6,0.4,0.1,0.7,0.4133,0.1133,0.7133,0.5,0.2,0.8
generic,heldout,6,10,4528.0,0.4,0.1,0.7,0.4125,0.1125,0.7125,0.5,0.2,0.8
generic,heldout,7,10,4527.1,0.4,0.1,0.7,0.4,0.1,0.7,0.5,0.2,0.8
generic,heldout,8,10,4360.1,0.5,0.2,0.8,0.5,0.2,0.8,0.6,0.3,0.9
generic,heldout,9,10,4319.7,0.5,0.2,0.8,0.5143,0.2143,0.8,0.6,0.3,0.9
generic,heldout,10,10,4275.8,0.5,0.2,0.8,0.5,0.2,0.8,0.6,0.3,0.9
generic,target,1,10,3945.2,0.4,0.1,0.7,0.555,0.26,0.835,0.7,0.4,1.0
generic,target,2,10,4013.0,0.3,0.0,0.6,0.455,0.175,0.74,0.6,0.3,0.9
generic,target,3,10,4111.3,0.4,0.1,0.7,0.48,0.18,0.78,0.6,0.3,0.9
generic,target,4,10,4144.7,0.5,0.2,0.8,0.5,0.2,0.8,0.6,0.3,0.9
generic,target,5,10,3946.6,0.5,0.2,0.8,0.5,0.2,0.8,0.6,0.3,0.9
generic,target,6,10,4528.0,0.4,0.1,0.7,0.48,0.18,0.78,0.6,0.3,0.9
generic,target,7,10,4527.1,0.4,0.1,0.7,0.48,0.18,0.78,0.6,0.3,0.9
generic,target,8,10,4360.1,0.5,0.2,0.8,0.5,0.2,0.8,0.6,0.3,0.9
generic,target,9,10,4319.7,0.4,0.1,0.7,0.4,0.1,0.7,0.6,0.3,0.9
generic,target,10,10,4275.8,0.4,0.1,0.7,0.48,0.18,0.78,0.6,0.3,0.9
