mode,from_stage,to_stage,depth,edge_type,n,lexical_similarity,lexical_similarity_lo,lexical_similarity_hi,lexical_change,lexical_change_lo,lexical_change_hi,novel_token_rate,novel_token_rate_lo,novel_token_rate_hi,ngram_copy_rate,ngram_copy_rate_lo,ngram_copy_rate_hi,retained_token_rate,retained_token_rate_lo,retained_token_rate_hi,length_ratio,length_ratio_lo,length_ratio_hi,semantic_preserved,semantic_preserved_lo,semantic_preserved_hi,fact_A_survived,fact_A_survived_lo,fact_A_survived_hi,fact_B_survived,fact_B_survived_lo,fact_B_survived_hi,fact_A_lost_here,fact_A_lost_here_lo,fact_A_lost_here_hi,fact_B_lost_here,fact_B_lost_here_lo,fact_B_lost_here_hi,target_f1,target_f1_lo,target_f1_hi,heldout_f1,heldout_f1_lo,heldout_f1_hi,target_judge_correct,target_judge_correct_lo,target_judge_correct_hi,heldout_judge_correct,heldout_judge_correct_lo,heldout_judge_correct_hi,label_target_benign_paraphrase,label_target_critical_detail_loss,label_target_information_loss,label_target_semantic_drift,label_target_verbatim_copy,label_target_unresolved
conditioned,0,1,1,source_compression,10,0.4424,0.3193,0.5742,0.5576,0.4258,0.6807,0.289,0.1767,0.4096,0.1391,0.0656,0.2197,0.3758,0.2356,0.5316,0.6185,0.381,0.8544,0.4,0.15,0.7,0.8,0.5,1.0,0.3,0.0,0.6,0.2,0.0,0.5,0.7,0.4,1.0,0.8367,0.71,0.95,0.35,0.1,0.65,1.0,1.0,1.0,0.4,0.1,0.7,0.2,0.1,0.0,0.7,0.0,0.0
conditioned,1,2,2,message_rewrite,10,0.8403,0.7594,0.912,0.1597,0.088,0.2406,0.1545,0.0613,0.2714,0.628,0.4453,0.7941,0.8661,0.7892,0.9324,1.0992,0.8794,1.4186,0.95,0.85,1.0,0.8,0.5,1.0,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.355,0.875,0.25,0.0,0.5,0.7,0.4,1.0,0.3,0.0,0.6,0.4,0.2,0.0,0.1,0.3,0.0
conditioned,2,3,3,message_rewrite,10,0.875,0.782,0.9492,0.125,0.0508,0.218,0.0982,0.0183,0.1956,0.8301,0.694,0.9437,0.8924,0.7642,0.9811,1.0382,0.8313,1.262,0.9,0.75,1.0,0.8,0.5,1.0,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.415,0.89,0.25,0.0,0.5,0.8,0.5,1.0,0.3,0.0,0.6,0.5,0.0,0.1,0.1,0.3,0.0
conditioned,3,4,4,message_rewrite,10,0.8454,0.7489,0.9229,0.1546,0.0771,0.2511,0.133,0.0437,0.2649,0.6614,0.4944,0.8179,0.8728,0.7863,0.9533,1.2233,0.8631,1.8144,1.0,1.0,1.0,0.8,0.5,1.0,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.795,0.57,0.96,0.4167,0.15,0.7,0.9,0.7,1.0,0.4,0.1,0.7,0.6,0.1,0.0,0.0,0.3,0.0
conditioned,4,5,5,message_rewrite,10,0.9074,0.8107,0.9765,0.0926,0.0235,0.1893,0.0302,0.0059,0.0618,0.8568,0.671,0.9721,0.8795,0.7393,0.9848,0.898,0.7375,1.0255,0.95,0.85,1.0,0.8,0.5,1.0,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.6867,0.4267,0.9067,0.55,0.25,0.85,0.8,0.5,1.0,0.6,0.3,0.9,0.2,0.1,0.0,0.1,0.6,0.0
conditioned,5,6,6,message_rewrite,10,0.9483,0.8831,1.0,0.0517,0.0,0.1169,0.0285,0.0,0.0657,0.8334,0.6399,1.0,0.9342,0.8437,1.0,0.9597,0.8712,1.0104,1.0,1.0,1.0,0.8,0.5,1.0,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.7067,0.44,0.94,0.45,0.15,0.75,0.8,0.5,1.0,0.5,0.2,0.8,0.2,0.0,0.0,0.0,0.8,0.0
conditioned,6,7,7,message_rewrite,10,0.9274,0.8588,0.981,0.0726,0.019,0.1412,0.0657,0.0,0.1458,0.8328,0.6228,1.0,0.9444,0.8522,1.0,1.0371,0.8995,1.1833,0.95,0.85,1.0,0.8,0.5,1.0,0.2,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.3,0.6867,0.4267,0.9067,0.4167,0.15,0.7,0.8,0.5,1.0,0.4,0.1,0.7,0.3,0.0,0.0,0.1,0.6,0.0
conditioned,7,8,8,message_rewrite,10,0.954,0.9086,0.9927,0.046,0.0073,0.0914,0.0437,0.0049,0.0952,0.8232,0.6437,0.9733,0.9537,0.9036,0.9941,1.0029,0.9742,1.0336,1.0,1.0,1.0,0.8,0.5,1.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6867,0.4267,0.9067,0.4167,0.15,0.7,0.8,0.5,1.0,0.4,0.1,0.7,0.2,0.1,0.0,0.0,0.7,0.0
conditioned,8,9,9,message_rewrite,10,0.9662,0.9121,1.0,0.0338,0.0,0.0879,0.0259,0.0,0.0729,0.9229,0.7804,1.0,0.9595,0.8903,1.0,0.9779,0.9328,1.0136,1.0,1.0,1.0,0.8,0.5,1.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.4263,0.9067,0.4167,0.15,0.7,0.7,0.4,1.0,0.4,0.1,0.7,0.0,0.2,0.0,0.0,0.8,0.0
conditioned,9,10,10,message_rewrite,10,0.9633,0.9223,0.9952,0.0367,0.0048,0.0777,0.0557,0.0048,0.1219,0.9088,0.8131,0.9882,0.9878,0.9753,1.0,1.0477,0.9944,1.1215,1.0,1.0,1.0,0.8,0.5,1.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6867,0.4267,0.9067,0.4167,0.15,0.7,0.8,0.5,1.0,0.4,0.1,0.7,0.2,0.0,0.0,0.0,0.8,0.0
generic,0,1,1,source_compression,10,0.7108,0.6267,0.7812,0.2892,0.2188,0.3733,0.2531,0.171,0.3402,0.2742,0.1919,0.3533,0.6839,0.5943,0.7611,0.979,0.899,1.058,1.0,1.0,1.0,0.8,0.5,1.0,0.9,0.7,1.0,0.2,0.0,0.5,0.1,0.0,0.3,0.7407,0.475,0.9514,0.95,0.85,1.0,0.9,0.7,1.0,1.0,1.0,1.0,0.8,0.2,0.0,0.0,0.0,0.0
generic,1,2,2,message_rewrite,10,0.7714,0.7258,0.8141,0.2286,0.1859,0.2742,0.285,0.2069,0.3672,0.37,0.2853,0.4591,0.8634,0.818,0.9044,1.2667,1.0823,1.4616,0.9,0.75,1.0,0.8,0.5,1.0,0.9,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7217,0.4667,0.935,0.95,0.85,1.0,0.9,0.7,1.0,1.0,1.0,1.0,0.6,0.2,0.0,0.2,0.0,0.0
