comparison,mode,query_type,depth,metric,delta,lo,hi,p_value,n
depth_minus_direct,conditioned,target,1,em,0.15,-0.05,0.35,0.234,20
depth_minus_direct,conditioned,target,1,f1,0.07986111111111112,0.008333333333333337,0.16388888888888892,0.0467,20
depth_minus_direct,conditioned,target,1,bertscore_f1,0.021724249999999994,-0.03854981249999996,0.09149353749999997,0.518,20
depth_minus_direct,conditioned,target,3,em,-0.1,-0.35,0.15,0.5303,20
depth_minus_direct,conditioned,target,3,f1,-0.10501068376068376,-0.28641025641025636,0.048895299145299054,0.2142,20
depth_minus_direct,conditioned,target,3,bertscore_f1,-0.09958605000000001,-0.26111645624999996,0.03601416124999998,0.1851,20
depth_minus_direct,conditioned,target,5,em,-0.05,-0.25,0.15,0.8125,20
depth_minus_direct,conditioned,target,5,f1,-0.0915079365079365,-0.2605892857142854,0.0500138888888887,0.2546,20
depth_minus_direct,conditioned,target,5,bertscore_f1,-0.10600065,-0.25702383124999995,0.012308063749999982,0.1208,20
depth_minus_direct,generic,target,1,em,-0.45,-0.65,-0.25,0.0,20
depth_minus_direct,generic,target,1,f1,-0.4779411764705882,-0.669607843137255,-0.28627450980392155,0.0,20
depth_minus_direct,generic,target,1,bertscore_f1,-0.4182588000000001,-0.6033077149999998,-0.24602964000000005,0.0,20
depth_minus_direct,generic,target,3,em,-0.35,-0.55,-0.15,0.0017,20
depth_minus_direct,generic,target,3,f1,-0.43888888888888894,-0.6389583333333327,-0.23888888888888887,0.0001,20
depth_minus_direct,generic,target,3,bertscore_f1,-0.40442575,-0.59188054,-0.2288694512500001,0.0,20
depth_minus_direct,generic,target,5,em,-0.45,-0.65,-0.25,0.0001,20
depth_minus_direct,generic,target,5,f1,-0.5318181818181819,-0.7249999999999999,-0.33888257575757585,0.0,20
depth_minus_direct,generic,target,5,bertscore_f1,-0.44869405,-0.6325649449999999,-0.2776511087500001,0.0,20
conditioned_minus_generic,conditioned_minus_generic,target,1,em,0.6,0.4,0.8,0.0,20
conditioned_minus_generic,conditioned_minus_generic,target,1,f1,0.5578022875816993,0.3683823529411765,0.7444444444444446,0.0,20
conditioned_minus_generic,conditioned_minus_generic,target,1,bertscore_f1,0.43998305000000004,0.26439606625000006,0.628923775,0.0,20
conditioned_minus_generic,conditioned_minus_generic,target,3,em,0.25,0.0,0.5,0.0554,20
conditioned_minus_generic,conditioned_minus_generic,target,3,f1,0.3338782051282051,0.15583333333333332,0.5238782051282052,0.0005,20
conditioned_minus_generic,conditioned_minus_generic,target,3,bertscore_f1,0.3048397,0.13330586625000004,0.49973831625,0.0013,20
conditioned_minus_generic,conditioned_minus_generic,target,5,em,0.4,0.2,0.6,0.0004,20
conditioned_minus_generic,conditioned_minus_generic,target,5,f1,0.4403102453102453,0.2564136002886004,0.6275324675324675,0.0,20
conditioned_minus_generic,conditioned_minus_generic,target,5,bertscore_f1,0.34269340000000004,0.17952018625000013,0.5256875087499999,0.0007,20
depth_minus_direct,conditioned,heldout,1,em,-0.9,-1.0,-0.75,0.0,20
depth_minus_direct,conditioned,heldout,1,f1,-0.8866666666666665,-1.0,-0.7533333333333333,0.0,20
depth_minus_direct,conditioned,heldout,1,bertscore_f1,-0.7056671000000001,-0.8263833862500001,-0.57184908625,0.0,20
depth_minus_direct,conditioned,heldout,3,em,-0.8,-0.95,-0.6,0.0,20
depth_minus_direct,conditioned,heldout,3,f1,-0.82,-0.97,-0.64,0.0,20
depth_minus_direct,conditioned,heldout,3,bertscore_f1,-0.62248925,-0.7629494162499999,-0.47031381000000017,0.0,20
