mode,query_type,depth,n,em,em_lo,em_hi,f1,f1_lo,f1_hi,bertscore_f1,bertscore_f1_lo,bertscore_f1_hi
conditioned,heldout,1,20,0.05,0.0,0.15,0.0833,0.0,0.2167,0.2407,0.1236,0.3766
conditioned,heldout,3,20,0.15,0.0,0.3,0.15,0.0,0.3,0.3238,0.1928,0.4693
conditioned,heldout,5,20,0.15,0.0,0.3,0.1567,0.0133,0.32,0.3054,0.1705,0.4548
conditioned,target,1,20,0.8,0.6,0.95,0.9076,0.7812,0.9938,0.8104,0.715,0.8925
conditioned,target,3,20,0.55,0.35,0.75,0.7228,0.5525,0.8756,0.6891,0.5493,0.815
conditioned,target,5,20,0.6,0.4,0.8,0.7363,0.5663,0.8867,0.6827,0.5378,0.8127
direct,heldout,0,20,0.95,0.85,1.0,0.97,0.91,1.0,0.9463,0.8847,0.9916
direct,target,0,20,0.65,0.45,0.85,0.8278,0.6944,0.9389,0.7887,0.6874,0.8817
generic,heldout,1,20,0.1,0.0,0.25,0.125,0.0,0.275,0.2213,0.0907,0.365
generic,heldout,3,20,0.1,0.0,0.25,0.125,0.0,0.275,0.1997,0.0742,0.3468
generic,heldout,5,20,0.1,0.0,0.25,0.125,0.0,0.275,0.1999,0.0632,0.3569
generic,target,1,20,0.2,0.05,0.4,0.3498,0.175,0.5359,0.3704,0.2027,0.5265
generic,target,3,20,0.3,0.1,0.5,0.3889,0.2,0.5778,0.3843,0.1985,0.5578
generic,target,5,20,0.2,0.05,0.4,0.296,0.1336,0.4725,0.34,0.1764,0.498
