comparison,mode,query_type,depth,metric,delta,lo,hi,p_value,n
depth_minus_direct,conditioned,target,1,em,0.0,0.0,0.0,1.0,2
depth_minus_direct,conditioned,target,1,f1,0.0,0.0,0.0,1.0,2
depth_minus_direct,conditioned,target,1,bertscore_f1,0.0,0.0,0.0,1.0,2
depth_minus_direct,conditioned,target,3,em,0.0,0.0,0.0,1.0,2
depth_minus_direct,conditioned,target,3,f1,0.0,0.0,0.0,1.0,2
depth_minus_direct,conditioned,target,3,bertscore_f1,-0.10673450000000001,-0.21346900000000002,0.0,0.5054,2
depth_minus_direct,conditioned,target,5,em,-0.5,-1.0,0.0,0.5054,2
depth_minus_direct,conditioned,target,5,f1,-0.125,-0.25,0.0,0.5054,2
depth_minus_direct,conditioned,target,5,bertscore_f1,-0.019450999999999996,-0.03890199999999999,0.0,0.5054,2
depth_minus_direct,generic,target,1,em,-0.5,-1.0,0.0,0.5054,2
depth_minus_direct,generic,target,1,f1,-0.5,-1.0,0.0,0.5054,2
depth_minus_direct,generic,target,1,bertscore_f1,-0.37914000000000003,-0.7582800000000001,0.0,0.5054,2
depth_minus_direct,generic,target,3,em,-0.5,-1.0,0.0,0.5054,2
depth_minus_direct,generic,target,3,f1,-0.5,-1.0,0.0,0.5054,2
depth_minus_direct,generic,target,3,bertscore_f1,-0.37914000000000003,-0.7582800000000001,0.0,0.5054,2
depth_minus_direct,generic,target,5,em,-0.5,-1.0,0.0,0.5054,2
depth_minus_direct,generic,target,5,f1,-0.5,-1.0,0.0,0.5054,2
depth_minus_direct,generic,target,5,bertscore_f1,-0.48587450000000004,-0.7582800000000001,-0.21346900000000002,0.0,2
conditioned_minus_generic,conditioned_minus_generic,target,1,em,0.5,0.0,1.0,0.5064,2
conditioned_minus_generic,conditioned_minus_generic,target,1,f1,0.5,0.0,1.0,0.5064,2
conditioned_minus_generic,conditioned_minus_generic,target,1,bertscore_f1,0.37914000000000003,0.0,0.7582800000000001,0.5064,2
conditioned_minus_generic,conditioned_minus_generic,target,3,em,0.5,0.0,1.0,0.5064,2
conditioned_minus_generic,conditioned_minus_generic,target,3,f1,0.5,0.0,1.0,0.5064,2
conditioned_minus_generic,conditioned_minus_generic,target,3,bertscore_f1,0.2724055,-0.21346900000000002,0.7582800000000001,0.5064,2
conditioned_minus_generic,conditioned_minus_generic,target,5,em,0.0,-1.0,1.0,1.0,2
conditioned_minus_generic,conditioned_minus_generic,target,5,f1,0.375,-0.25,1.0,0.5064,2
conditioned_minus_generic,conditioned_minus_generic,target,5,bertscore_f1,0.46642350000000005,0.17456700000000003,0.7582800000000001,0.0,2
depth_minus_direct,conditioned,heldout,1,em,-1.0,-1.0,-1.0,0.0,2
depth_minus_direct,conditioned,heldout,1,f1,-1.0,-1.0,-1.0,0.0,2
depth_minus_direct,conditioned,heldout,1,bertscore_f1,-0.9157294999999999,-1.003164,-0.8282949999999999,0.0,2
depth_minus_direct,conditioned,heldout,3,em,-1.0,-1.0,-1.0,0.0,2
depth_minus_direct,conditioned,heldout,3,f1,-1.0,-1.0,-1.0,0.0,2
depth_minus_direct,conditioned,heldout,3,bertscore_f1,-0.9157294999999999,-1.003164,-0.8282949999999999,0.0,2
depth_minus_direct,conditioned,heldout,5,em,-0.5,-1.0,0.0,0.5054,2
depth_minus_direct,conditioned,heldout,5,f1,-0.5,-1.0,0.0,0.5054,2
depth_minus_direct,conditioned,heldout,5,bertscore_f1,-0.5487135,-0.851677,-0.2457499999999999,0.0,2
depth_minus_direct,generic,heldout,1,em,-1.0,-1.0,-1.0,0.0,2
depth_minus_direct,generic,heldout,1,f1,-0.6666666666666667,-1.0,-0.33333333333333337,0.0,2
depth_minus_direct,generic,heldout,1,bertscore_f1,-0.700529,-0.819876,-0.5811819999999999,0.0,2
depth_minus_direct,generic,heldout,3,em,-1.0,-1.0,-1.0,0.0,2
depth_minus_direct,generic,heldout,3,f1,-0.6666666666666667,-1.0,-0.33333333333333337,0.0,2
depth_minus_direct,generic,heldout,3,bertscore_f1,-0.700529,-0.819876,-0.5811819999999999,0.0,2
depth_minus_direct,generic,heldout,5,em,-1.0,-1.0,-1.0,0.0,2
depth_minus_direct,generic,heldout,5,f1,-0.6666666666666667,-1.0,-0.33333333333333337,0.0,2
depth_minus_direct,generic,heldout,5,bertscore_f1,-0.700529,-0.819876,-0.5811819999999999,0.0,2
conditioned_minus_generic,conditioned_minus_generic,heldout,1,em,0.0,0.0,0.0,1.0,2
conditioned_minus_generic,conditioned_minus_generic,heldout,1,f1,-0.3333333333333333,-0.6666666666666666,0.0,0.5064,2
conditioned_minus_generic,conditioned_minus_generic,heldout,1,bertscore_f1,-0.21520050000000002,-0.247113,-0.183288,0.0,2
conditioned_minus_generic,conditioned_minus_generic,heldout,3,em,0.0,0.0,0.0,1.0,2
conditioned_minus_generic,conditioned_minus_generic,heldout,3,f1,-0.3333333333333333,-0.6666666666666666,0.0,0.5064,2
conditioned_minus_generic,conditioned_minus_generic,heldout,3,bertscore_f1,-0.21520050000000002,-0.247113,-0.183288,0.0,2
conditioned_minus_generic,conditioned_minus_generic,heldout,5,em,0.5,0.0,1.0,0.5064,2
conditioned_minus_generic,conditioned_minus_generic,heldout,5,f1,0.16666666666666669,0.0,0.33333333333333337,0.5064,2
conditioned_minus_generic,conditioned_minus_generic,heldout,5,bertscore_f1,0.1518155,-0.031800999999999996,0.335432,0.5064,2
