mode,query_type,depth,n,em,em_lo,em_hi,f1,f1_lo,f1_hi,bertscore_f1,bertscore_f1_lo,bertscore_f1_hi
conditioned,heldout,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0843,-0.0032,0.1717
conditioned,heldout,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0843,-0.0032,0.1717
conditioned,heldout,5,2,0.5,0.0,1.0,0.5,0.0,1.0,0.4513,0.1483,0.7543
conditioned,target,1,2,1.0,1.0,1.0,1.0,1.0,1.0,0.8052,0.705,0.9054
conditioned,target,3,2,1.0,1.0,1.0,1.0,1.0,1.0,0.6985,0.692,0.705
conditioned,target,5,2,0.5,0.0,1.0,0.875,0.75,1.0,0.7858,0.705,0.8665
direct,heldout,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
direct,target,0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.8052,0.705,0.9054
generic,heldout,1,2,0.0,0.0,0.0,0.3333,0.0,0.6667,0.2995,0.1801,0.4188
generic,heldout,3,2,0.0,0.0,0.0,0.3333,0.0,0.6667,0.2995,0.1801,0.4188
generic,heldout,5,2,0.0,0.0,0.0,0.3333,0.0,0.6667,0.2995,0.1801,0.4188
generic,target,1,2,0.5,0.0,1.0,0.5,0.0,1.0,0.4261,-0.0533,0.9054
generic,target,3,2,0.5,0.0,1.0,0.5,0.0,1.0,0.4261,-0.0533,0.9054
generic,target,5,2,0.5,0.0,1.0,0.5,0.0,1.0,0.3193,-0.0533,0.692
