comparison,mode,query_type,depth,metric,delta,lo,hi,p_value,n
depth_minus_direct,conditioned,target,1,em,0.05,-0.15,0.25,0.8251,20
depth_minus_direct,conditioned,target,1,f1,0.0017171717171717172,-0.14045454545454544,0.12222222222222223,0.9817,20
depth_minus_direct,conditioned,target,1,judge_correct,-0.05,-0.15,0.0,0.6117,20
depth_minus_direct,conditioned,target,2,em,-0.05,-0.25,0.15,0.8269,20
depth_minus_direct,conditioned,target,2,f1,-0.033888888888888885,-0.175,0.08055555555555556,0.5972,20
depth_minus_direct,conditioned,target,2,judge_correct,-0.05,-0.15,0.0,0.6117,20
depth_minus_direct,conditioned,target,3,em,-0.25,-0.5,0.0,0.1059,20
depth_minus_direct,conditioned,target,3,f1,-0.2147130647130647,-0.40876068376068375,-0.03375992063492062,0.0226,20
depth_minus_direct,conditioned,target,3,judge_correct,-0.25,-0.45,-0.05,0.0165,20
depth_minus_direct,conditioned,target,4,em,-0.2,-0.45,0.05,0.1915,20
depth_minus_direct,conditioned,target,4,f1,-0.2041070041070041,-0.3916716616716616,-0.02899877899877899,0.0276,20
depth_minus_direct,conditioned,target,4,judge_correct,-0.2,-0.4,-0.05,0.0399,20
depth_minus_direct,conditioned,target,5,em,-0.4,-0.6,-0.2,0.0004,20
depth_minus_direct,conditioned,target,5,f1,-0.32418276168276167,-0.4946248196248195,-0.16139686702186704,0.0002,20
depth_minus_direct,conditioned,target,5,judge_correct,-0.25,-0.45,-0.05,0.0153,20
depth_minus_direct,conditioned,target,6,em,-0.35,-0.6,-0.1,0.0088,20
depth_minus_direct,conditioned,target,6,f1,-0.2880355755355755,-0.4806729728604728,-0.10307962870462878,0.0029,20
depth_minus_direct,conditioned,target,6,judge_correct,-0.3,-0.5,-0.1,0.0068,20
depth_minus_direct,conditioned,target,7,em,-0.35,-0.6,-0.1,0.0084,20
depth_minus_direct,conditioned,target,7,f1,-0.29308608058608054,-0.4783745421245421,-0.10719742063492071,0.0016,20
depth_minus_direct,conditioned,target,7,judge_correct,-0.3,-0.5,-0.1,0.0049,20
depth_minus_direct,conditioned,target,8,em,-0.5,-0.7,-0.3,0.0,20
depth_minus_direct,conditioned,target,8,f1,-0.4431166056166056,-0.6395501373626373,-0.24396978021978027,0.0,20
depth_minus_direct,conditioned,target,8,judge_correct,-0.5,-0.7,-0.3,0.0,20
depth_minus_direct,conditioned,target,9,em,-0.45,-0.7,-0.2,0.0008,20
depth_minus_direct,conditioned,target,9,f1,-0.43313492063492054,-0.6361111111111111,-0.22301091269841278,0.0,20
depth_minus_direct,conditioned,target,9,judge_correct,-0.45,-0.65,-0.25,0.0001,20
depth_minus_direct,conditioned,target,10,em,-0.5,-0.7,-0.3,0.0,20
depth_minus_direct,conditioned,target,10,f1,-0.4400613275613276,-0.6388537157287156,-0.2362725468975469,0.0,20
depth_minus_direct,conditioned,target,10,judge_correct,-0.5,-0.7,-0.3,0.0,20
depth_minus_direct,generic,target,1,em,-0.25,-0.5,0.05,0.1082,20
depth_minus_direct,generic,target,1,f1,-0.29292929292929293,-0.5136426767676767,-0.07499999999999998,0.0088,20
depth_minus_direct,generic,target,1,judge_correct,-0.45,-0.65,-0.25,0.0,20
depth_minus_direct,generic,target,2,em,-0.25,-0.5,0.05,0.1082,20
depth_minus_direct,generic,target,2,f1,-0.2515873015873016,-0.471031746031746,-0.038888888888888876,0.0233,20
depth_minus_direct,generic,target,2,judge_correct,-0.4,-0.6,-0.2,0.0005,20
depth_minus_direct,generic,target,3,em,-0.3,-0.55,-0.05,0.0278,20
depth_minus_direct,generic,target,3,f1,-0.3061111111111111,-0.5283333333333333,-0.08998611111111128,0.0065,20
depth_minus_direct,generic,target,3,judge_correct,-0.4,-0.6,-0.2,0.0005,20
depth_minus_direct,generic,target,4,em,-0.15,-0.45,0.15,0.3912,20
depth_minus_direct,generic,target,4,f1,-0.23777777777777778,-0.4616666666666667,-0.019444444444444438,0.0362,20
depth_minus_direct,generic,target,4,judge_correct,-0.3,-0.5,-0.1,0.0068,20
depth_minus_direct,generic,target,5,em,-0.35,-0.6,-0.1,0.0098,20
depth_minus_direct,generic,target,5,f1,-0.3478654970760234,-0.5599999999999999,-0.1378654970760234,0.0009,20
depth_minus_direct,generic,target,5,judge_correct,-0.4,-0.6,-0.2,0.0005,20
depth_minus_direct,generic,target,6,em,-0.35,-0.65,-0.05,0.0261,20
depth_minus_direct,generic,target,6,f1,-0.30027777777777775,-0.516673611111111,-0.0797152777777779,0.0067,20
depth_minus_direct,generic,target,6,judge_correct,-0.35,-0.55,-0.15,0.0014,20
depth_minus_direct,generic,target,7,em,-0.35,-0.65,-0.05,0.0261,20
