mode,query_type,depth,n,handoff_characters_mean,em,em_lo,em_hi,f1,f1_lo,f1_hi,judge_correct,judge_correct_lo,judge_correct_hi
conditioned,heldout,1,20,726.0,0.2,0.05,0.4,0.2,0.05,0.4,0.2,0.05,0.4
conditioned,heldout,2,20,654.5,0.15,0.0,0.3,0.15,0.0,0.3,0.15,0.0,0.3
conditioned,heldout,3,20,773.4,0.1,0.0,0.25,0.1,0.0,0.25,0.1,0.0,0.25
conditioned,heldout,4,20,805.5,0.15,0.0,0.3,0.1625,0.0125,0.3375,0.15,0.0,0.3
conditioned,heldout,5,20,809.9,0.25,0.1,0.45,0.25,0.1,0.45,0.25,0.1,0.45
conditioned,heldout,6,20,900.3,0.2,0.05,0.4,0.2,0.05,0.4,0.2,0.05,0.4
conditioned,heldout,7,20,946.5,0.15,0.0,0.3,0.15,0.0,0.3,0.15,0.0,0.3
conditioned,heldout,8,20,972.5,0.15,0.0,0.3,0.15,0.0,0.3,0.2,0.05,0.4
conditioned,heldout,9,20,968.5,0.15,0.0,0.3,0.1553,0.0053,0.3105,0.15,0.0,0.3
conditioned,heldout,10,20,882.6,0.1,0.0,0.25,0.1,0.0,0.25,0.15,0.0,0.3
conditioned,target,1,20,726.0,0.7,0.5,0.9,0.8295,0.6734,0.9522,0.9,0.75,1.0
conditioned,target,2,20,654.5,0.6,0.4,0.8,0.7939,0.6383,0.925,0.9,0.75,1.0
conditioned,target,3,20,773.4,0.4,0.2,0.6,0.6131,0.4301,0.7825,0.7,0.5,0.9
conditioned,target,4,20,805.5,0.45,0.25,0.65,0.6237,0.4389,0.7959,0.75,0.55,0.9
conditioned,target,5,20,809.9,0.25,0.1,0.45,0.5036,0.3249,0.6797,0.7,0.5,0.9
conditioned,target,6,20,900.3,0.3,0.1,0.5,0.5397,0.3599,0.7104,0.65,0.45,0.85
conditioned,target,7,20,946.5,0.3,0.1,0.5,0.5347,0.3607,0.7043,0.65,0.45,0.85
conditioned,target,8,20,972.5,0.15,0.0,0.3,0.3847,0.2077,0.5612,0.45,0.25,0.65
conditioned,target,9,20,968.5,0.2,0.05,0.4,0.3946,0.2125,0.5786,0.5,0.3,0.7
conditioned,target,10,20,882.6,0.15,0.0,0.3,0.3877,0.2089,0.5675,0.45,0.25,0.65
direct,heldout,0,20,7741.2,0.95,0.85,1.0,0.97,0.91,1.0,1.0,1.0,1.0
direct,target,0,20,7741.2,0.65,0.45,0.85,0.8278,0.6944,0.9389,0.95,0.85,1.0
generic,heldout,1,20,3140.0,0.55,0.35,0.75,0.5924,0.3758,0.8,0.6,0.4,0.8
generic,heldout,2,20,3081.0,0.55,0.35,0.75,0.5833,0.35,0.7833,0.6,0.4,0.8
generic,heldout,3,20,3065.6,0.55,0.35,0.75,0.5833,0.35,0.7833,0.6,0.4,0.8
generic,heldout,4,20,2981.4,0.45,0.25,0.65,0.5324,0.3182,0.7348,0.55,0.35,0.75
generic,heldout,5,20,2982.9,0.5,0.3,0.7,0.5733,0.35,0.7733,0.65,0.45,0.85
generic,heldout,6,20,3005.3,0.55,0.35,0.75,0.5833,0.35,0.7833,0.65,0.45,0.85
generic,heldout,7,20,3023.8,0.5,0.3,0.7,0.5733,0.35,0.7733,0.65,0.45,0.85
generic,heldout,8,20,3012.8,0.5,0.3,0.7,0.5733,0.35,0.7733,0.6,0.4,0.8
generic,heldout,9,20,2951.1,0.5,0.3,0.7,0.5824,0.3682,0.78,0.6,0.4,0.8
generic,heldout,10,20,3089.7,0.55,0.35,0.75,0.5967,0.38,0.8,0.6,0.4,0.8
generic,target,1,20,3140.0,0.4,0.2,0.6,0.5348,0.3432,0.725,0.5,0.3,0.7
generic,target,2,20,3081.0,0.4,0.2,0.6,0.5762,0.3762,0.7667,0.55,0.35,0.75
generic,target,3,20,3065.6,0.35,0.15,0.55,0.5217,0.325,0.7134,0.55,0.35,0.75
generic,target,4,20,2981.4,0.5,0.3,0.7,0.59,0.38,0.78,0.65,0.45,0.85
generic,target,5,20,2982.9,0.3,0.1,0.5,0.4799,0.2966,0.6632,0.55,0.35,0.75
generic,target,6,20,3005.3,0.3,0.1,0.5,0.5275,0.34,0.705,0.6,0.4,0.8
generic,target,7,20,3023.8,0.3,0.1,0.5,0.4515,0.2693,0.6365,0.55,0.35,0.75
generic,target,8,20,3012.8,0.3,0.1,0.5,0.4622,0.275,0.645,0.55,0.35,0.75
generic,target,9,20,2951.1,0.35,0.15,0.55,0.515,0.315,0.705,0.55,0.35,0.75
generic,target,10,20,3089.7,0.3,0.1,0.5,0.4633,0.2772,0.6472,0.55,0.35,0.75
