comparison,mode,query_type,depth,metric,delta,lo,hi,p_value,n
depth_minus_direct,conditioned,target,1,em,-0.1,-0.4,0.2,0.7695,10
depth_minus_direct,conditioned,target,1,f1,-0.11904761904761904,-0.33333333333333337,0.02857142857142858,0.2314,10
depth_minus_direct,conditioned,target,1,judge_correct,-0.1,-0.3,0.0,0.6005,10
depth_minus_direct,conditioned,target,2,em,-0.2,-0.5,0.0,0.2241,10
depth_minus_direct,conditioned,target,2,f1,-0.13333333333333336,-0.33333333333333337,0.0,0.2185,10
depth_minus_direct,conditioned,target,2,judge_correct,-0.1,-0.3,0.0,0.6005,10
depth_minus_direct,conditioned,target,3,em,-0.3,-0.6,0.0,0.0742,10
depth_minus_direct,conditioned,target,3,f1,-0.23333333333333334,-0.5,0.0,0.075,10
depth_minus_direct,conditioned,target,3,judge_correct,-0.2,-0.5,0.0,0.2235,10
depth_minus_direct,conditioned,target,4,em,-0.3,-0.6,0.0,0.0742,10
depth_minus_direct,conditioned,target,4,f1,-0.23333333333333334,-0.5,0.0,0.075,10
depth_minus_direct,conditioned,target,4,judge_correct,-0.2,-0.5,0.0,0.2235,10
depth_minus_direct,conditioned,target,5,em,-0.4,-0.7,-0.1,0.0188,10
depth_minus_direct,conditioned,target,5,f1,-0.33333333333333337,-0.6333333333333333,-0.1,0.0205,10
depth_minus_direct,conditioned,target,5,judge_correct,-0.3,-0.6,0.0,0.077,10
depth_minus_direct,conditioned,target,6,em,-0.4,-0.7,-0.1,0.0188,10
depth_minus_direct,conditioned,target,6,f1,-0.33333333333333337,-0.6333333333333333,-0.1,0.0205,10
depth_minus_direct,conditioned,target,6,judge_correct,-0.3,-0.6,0.0,0.077,10
depth_minus_direct,conditioned,target,7,em,-0.4,-0.7,-0.1,0.0188,10
depth_minus_direct,conditioned,target,7,f1,-0.33333333333333337,-0.6333333333333333,-0.1,0.0205,10
depth_minus_direct,conditioned,target,7,judge_correct,-0.3,-0.6,0.0,0.077,10
depth_minus_direct,conditioned,target,8,em,-0.4,-0.7,-0.1,0.0188,10
depth_minus_direct,conditioned,target,8,f1,-0.3790476190476191,-0.6457142857142857,-0.13333333333333336,0.0056,10
depth_minus_direct,conditioned,target,8,judge_correct,-0.4,-0.7,-0.1,0.0188,10
depth_minus_direct,conditioned,target,9,em,-0.4,-0.7,-0.1,0.0188,10
