mode,query_type,depth,n,em,em_lo,em_hi,f1,f1_lo,f1_hi,judge_correct,judge_correct_lo,judge_correct_hi
conditioned,heldout,1,10,0.0,0.0,0.0,0.05,0.0,0.15,0.0,0.0,0.0
conditioned,heldout,2,10,0.0,0.0,0.0,0.04,0.0,0.12,0.0,0.0,0.0
conditioned,heldout,3,10,0.0,0.0,0.0,0.04,0.0,0.12,0.0,0.0,0.0
conditioned,heldout,4,10,0.0,0.0,0.0,0.04,0.0,0.12,0.0,0.0,0.0
conditioned,heldout,5,10,0.0,0.0,0.0,0.04,0.0,0.12,0.0,0.0,0.0
conditioned,heldout,6,10,0.0,0.0,0.0,0.08,0.0,0.2,0.0,0.0,0.0
conditioned,heldout,7,10,0.1,0.0,0.3,0.14,0.0,0.34,0.1,0.0,0.3
conditioned,heldout,8,10,0.0,0.0,0.0,0.09,0.0,0.22,0.0,0.0,0.0
conditioned,heldout,9,10,0.1,0.0,0.3,0.2,0.0,0.4,0.2,0.0,0.5
conditioned,heldout,10,10,0.1,0.0,0.3,0.15,0.0,0.35,0.1,0.0,0.3
conditioned,target,1,10,0.8,0.5,1.0,0.8667,0.6667,1.0,0.9,0.7,1.0
conditioned,target,2,10,0.7,0.4,1.0,0.8524,0.6381,1.0,0.9,0.7,1.0
conditioned,target,3,10,0.6,0.3,0.9,0.7524,0.4857,0.9667,0.8,0.5,1.0
conditioned,target,4,10,0.6,0.3,0.9,0.7524,0.4857,0.9667,0.8,0.5,1.0
conditioned,target,5,10,0.5,0.2,0.8,0.6524,0.3667,0.9,0.7,0.4,1.0
conditioned,target,6,10,0.5,0.2,0.8,0.6524,0.3667,0.9,0.7,0.4,1.0
conditioned,target,7,10,0.5,0.2,0.8,0.6524,0.3667,0.9,0.7,0.4,1.0
conditioned,target,8,10,0.5,0.2,0.8,0.6067,0.3333,0.8667,0.6,0.3,0.9
conditioned,target,9,10,0.5,0.2,0.8,0.6524,0.3667,0.9,0.7,0.4,1.0
conditioned,target,10,10,0.5,0.2,0.8,0.6524,0.3667,0.9,0.7,0.4,1.0
direct,heldout,0,10,0.8,0.5,1.0,0.88,0.68,1.0,1.0,1.0,1.0
direct,target,0,10,0.9,0.7,1.0,0.9857,0.9571,1.0,1.0,1.0,1.0
generic,heldout,1,10,0.0,0.0,0.0,0.0105,0.0,0.0316,0.0,0.0,0.0
generic,heldout,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generic,heldout,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generic,heldout,4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generic,heldout,5,10,0.0,0.0,0.0,0.02,0.0,0.06,0.0,0.0,0.0
generic,heldout,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generic,heldout,7,10,0.0,0.0,0.0,0.04,0.0,0.12,0.0,0.0,0.0
generic,heldout,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generic,heldout,9,10,0.0,0.0,0.0,0.04,0.0,0.12,0.0,0.0,0.0
generic,heldout,10,10,0.0,0.0,0.0,0.04,0.0,0.12,0.0,0.0,0.0
generic,target,1,10,0.0,0.0,0.0,0.04,0.0,0.12,0.0,0.0,0.0
generic,target,2,10,0.0,0.0,0.0,0.04,0.0,0.12,0.0,0.0,0.0
generic,target,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generic,target,4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generic,target,5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generic,target,6,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generic,target,7,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generic,target,8,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generic,target,9,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generic,target,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
